Comparison,species_label,order_label,average,sd,ava,avb,diff,contrib_signed,cluster_higher
1_2,Eucalanus californicus,Calanoida,0.1478950337544121,0.043352102789064324,0.0014161461712963114,0.004091927490866159,-0.0026757813195698475,-0.1478950337544121,2
1_2,Ctenocalanus vanus,Calanoida,0.05298314866523029,0.021534341916130018,0.029389404256301925,0.002424538442602096,0.026964865813699827,0.05298314866523029,1
1_2,Unidentified Acartia,Calanoida,0.036990900824595815,0.020246784291847886,0.04683501775841206,0,0.04683501775841206,0.036990900824595815,1
1_2,Calanus pacificus,Calanoida,0.026453251370093824,0.015062273629283179,0.002248742122422469,0.0013362832322275885,9.124588901948806e-4,0.026453251370093824,1
1_2,Unidentified Sagitta,Aphragmophora,0.024682129383233782,0.024224982260373985,0.0017602645747513542,0.009294998672558265,-0.0075347340978069105,-0.024682129383233782,2
1_2,Nematoscelis difficilis,Euphausiacea,0.02230087538044464,0.016882101740500588,0.01872746981667977,0.004815093898899361,0.013912375917780408,0.02230087538044464,1
1_2,Acrocalanus monachus,Calanoida,0.02141110663146475,0.01763740259687341,0.007292102595623034,0.00842780969520742,-0.0011357070995843864,-0.02141110663146475,2
1_2,Ditrichocorycaeus anglicus,Cyclopoida,0.020931503706129253,0.010150210957030252,0.03328975136383926,0.001411969628446679,0.03187778173539258,0.020931503706129253,1
1_2,Paraeuchaeta rubra,Calanoida,0.02044312836852968,0.017559960700087692,0.018622746287071515,0.005485562952599357,0.013137183334472158,0.02044312836852968,1
1_2,Nanomia bijuga,Siphonophorae,0.018601551489760126,0.018048228748903966,0.02128177958534503,4.061613660900447e-5,0.021241163448736024,0.018601551489760126,1
1_3,Ctenocalanus vanus,Calanoida,0.05401812914837279,0.01623315854202017,0.029389404256301925,0.044736481300925904,-0.015347077044623979,-0.05401812914837279,3
1_3,Eucalanus californicus,Calanoida,0.03804787347730291,0.01880677927052346,0.0014161461712963114,2.3471172358036156e-4,0.00118143444771595,0.03804787347730291,1
1_3,Clausocalanus furcatus,Calanoida,0.033884746503565724,0.011636447791973571,0,0.05202472464853105,-0.05202472464853105,-0.033884746503565724,3
1_3,Euchaeta marina,Calanoida,0.029660328366354124,0.01398853957390764,0.0012200024560111598,0.012232670379663036,-0.011012667923651877,-0.029660328366354124,3
1_3,Unidentified Acartia,Calanoida,0.02960665239445587,0.01569894977144914,0.04683501775841206,0,0.04683501775841206,0.02960665239445587,1
1_3,Mecynocera clausi,Calanoida,0.029189661995562197,0.01446494903353177,0,0.021755850723372595,-0.021755850723372595,-0.029189661995562197,3
1_3,Paraeuchaeta rubra,Calanoida,0.02182537764170243,0.015294000106612795,0.018622746287071515,0.013602873185525138,0.0050198731015463766,0.02182537764170243,1
1_3,Ditrichocorycaeus anglicus,Cyclopoida,0.018876303285884563,0.009203610160375667,0.03328975136383926,0.0067082521282530675,0.02658149923558619,0.018876303285884563,1
1_3,Nematoscelis difficilis,Euphausiacea,0.01854062661965368,0.013110992359560468,0.01872746981667977,0.0045571750060518805,0.014170294810627888,0.01854062661965368,1
1_3,Acrocalanus monachus,Calanoida,0.01766246006408781,0.01146120122817765,0.007292102595623034,0.010942171165680055,-0.003650068570057021,-0.01766246006408781,3
1_4,Eucalanus californicus,Calanoida,0.2146488612861867,0.051466539161250706,0.0014161461712963114,0.0064804108332799076,-0.005064264661983596,-0.2146488612861867,4
1_4,Calanus pacificus,Calanoida,0.10246335833011963,0.031054488977307393,0.002248742122422469,0.012869148661807299,-0.010620406539384829,-0.10246335833011963,4
1_4,Ctenocalanus vanus,Calanoida,0.04891627011514193,0.018957070121782275,0.029389404256301925,6.917609971683349e-4,0.02869764325913359,0.04891627011514193,1
1_4,Unidentified Acartia,Calanoida,0.03724869074589525,0.019597362423325902,0.04683501775841206,0.003353949320464971,0.04348106843794709,0.03724869074589525,1
