Comparison,genus_label,order_label,average,sd,ava,avb,diff,contrib_signed,cluster_higher
1_4,Metridia,Calanoida,0.16770043909080393,0.030171117066985508,0.013709890122053404,0.0010812981856931103,0.012628591936360295,0.16770043909080393,1
1_4,Pleuromamma,Calanoida,0.1193973324217336,0.03595243042415436,0.008361155161906324,0.012606683136532498,-0.004245527974626174,-0.1193973324217336,4
1_4,Clausocalanus,Calanoida,0.10255941627177056,0.02347202420179577,0.01876165137582079,0.0010572540125504723,0.017704397363270317,0.10255941627177056,1
1_4,Neocalanus,Calanoida,0.10026527018635664,0.03354270816583688,0.01882962201599811,0.00807177257836371,0.010757849437634399,0.10026527018635664,1
1_4,Candacia,Calanoida,0.032019258058298423,0.02044135197642668,0.0015321460478831068,0.024578614074662816,-0.02304646802677971,-0.032019258058298423,4
1_4,Ctenocalanus,Calanoida,0.025204951477673637,0.011554641572818058,0.018142339218398158,0.001018136253710783,0.017124202964687373,0.025204951477673637,1
1_4,Calanus,Calanoida,0.025046139533117046,0.014500514745819688,0.002512077830330411,0.003336453869562613,-8.24376039232202e-4,-0.025046139533117046,4
1_4,Calocalanus,Calanoida,0.0165961657740047,0.013069245160335752,0.014083513288444064,0.004235381743135773,0.009848131545308291,0.0165961657740047,1
1_4,Paracalanus,Calanoida,0.010233676688564406,0.006497021595194727,0.012193385427369552,1.1599205400244891e-4,0.012077393373367103,0.010233676688564406,1
1_4,Tomopteris,Phyllodocida,0.007115875083075832,0.013915186748393794,0.0056105391271625196,0.017014895232902987,-0.011404356105740468,-0.007115875083075832,4
2_1,Metridia,Calanoida,0.21547935626223222,0.035070122571904006,0.018827581853972836,0.013709890122053404,0.005117691731919432,0.21547935626223222,2
2_1,Clausocalanus,Calanoida,0.0805660401369405,0.01866304044732496,0.002353831691949252,0.01876165137582079,-0.016407819683871536,-0.0805660401369405,1
2_1,Neocalanus,Calanoida,0.0555132974212611,0.017890985361686502,0.004183668945314624,0.01882962201599811,-0.014645953070683487,-0.0555132974212611,1
2_1,Calanus,Calanoida,0.04764003387181444,0.014077140212303252,0.014407968584754877,0.002512077830330411,0.011895890754424467,0.04764003387181444,2
2_1,Pleuromamma,Calanoida,0.04426514224472304,0.01347830004725305,0.0047759979878286354,0.008361155161906324,-0.0035851571740776883,-0.04426514224472304,1
2_1,Ctenocalanus,Calanoida,0.02348887063457665,0.009946547931866492,0.008682467328786608,0.018142339218398158,-0.00945987188961155,-0.02348887063457665,1
2_1,Paracalanus,Calanoida,0.01932518621462954,0.009333027924718117,0.024283785564756775,0.012193385427369552,0.012090400137387223,0.01932518621462954,2
2_1,Rhincalanus,Calanoida,0.01840989361633128,0.00848155042615516,0.024219719139335624,0.0021442029847566655,0.022075516154578957,0.01840989361633128,2
2_1,Oithona,Cyclopoida,0.011297610063378405,0.007091658566789704,0.02960852768266131,0.012483431800382312,0.017125095882278996,0.011297610063378405,2
2_1,Calocalanus,Calanoida,0.010353270787676238,0.006789643485945574,8.383695394690942e-4,0.014083513288444064,-0.01324514374897497,-0.010353270787676238,1
2_3,Metridia,Calanoida,0.20533630581004964,0.036878044831995395,0.018827581853972836,0.002961365893707993,0.015866215960264843,0.20533630581004964,2
2_3,Calanus,Calanoida,0.11706807465878931,0.03064430369995266,0.014407968584754877,0.023338131783094677,-0.0089301631983398,-0.11706807465878931,3
2_3,Pleuromamma,Calanoida,0.06127100096171314,0.019493926442614593,0.0047759979878286354,0.007023777299941007,-0.0022477793121123716,-0.06127100096171314,3
2_3,Rhincalanus,Calanoida,0.02969267850760297,0.01278881274829581,0.024219719139335624,0.01717819735107881,0.0070415217882568125,0.02969267850760297,2
2_3,Paracalanus,Calanoida,0.020273832143827587,0.010920353976626091,0.024283785564756775,0.0016007954854155267,0.02268299007934125,0.020273832143827587,2
2_3,Clausocalanus,Calanoida,0.015542308938129155,0.008434146242614746,0.002353831691949252,8.996012031692476e-4,0.0014542304887800045,0.015542308938129155,2
2_3,Neocalanus,Calanoida,0.01412889461170043,0.008539549282175846,0.004183668945314624,7.017515739776534e-4,0.003481917371336971,0.01412889461170043,2
2_3,Oithona,Cyclopoida,0.013759405333175882,0.00995547469570768,0.02960852768266131,0.002996765413986939,0.026611762268674368,0.013759405333175882,2
2_3,Ctenocalanus,Calanoida,0.011394506857936306,0.007687013854673149,0.008682467328786608,1.5801269871322542e-4,0.008524454630073383,0.011394506857936306,2
2_3,Scolecithricella,Calanoida,0.011203381299222288,0.010277846163154955,0.014541399448870304,0.013411695421085515,0.0011297040277847888,0.011203381299222288,2
2_4,Metridia,Calanoida,0.26776869821127547,0.04557599244191791,0.018827581853972836,0.0010812981856931103,0.017746283668279725,0.26776869821127547,2
2_4,Pleuromamma,Calanoida,0.11400891868639125,0.039051693873227045,0.0047759979878286354,0.012606683136532498,-0.007830685148703862,-0.11400891868639125,4
2_4,Calanus,Calanoida,0.0831744024283861,0.024092867385096483,0.014407968584754877,0.003336453869562613,0.011071514715192264,0.0831744024283861,2
2_4,Neocalanus,Calanoida,0.0524433618601137,0.03192497273840585,0.004183668945314624,0.00807177257836371,-0.0038881036330490866,-0.0524433618601137,4
2_4,Candacia,Calanoida,0.034615993755638626,0.022518113451845023,6.310499099903762e-4,0.024578614074662816,-0.02394756416467244,-0.034615993755638626,4
2_4,Rhincalanus,Calanoida,0.026961197209513187,0.012620617666865107,0.024219719139335624,0.0016954792662421591,0.022524239873093464,0.026961197209513187,2
2_4,Paracalanus,Calanoida,0.024495960696874073,0.013773361350607739,0.024283785564756775,1.1599205400244891e-4,0.024167793510754324,0.024495960696874073,2
2_4,Clausocalanus,Calanoida,0.019259296352778454,0.00977449286956681,0.002353831691949252,0.0010572540125504723,0.0012965776793987798,0.019259296352778454,2
2_4,Oithona,Cyclopoida,0.015295919503616837,0.011523625291840209,0.02960852768266131,0,0.02960852768266131,0.015295919503616837,2
2_4,Ctenocalanus,Calanoida,0.0148056862434894,0.009877654471873875,0.008682467328786608,0.001018136253710783,0.007664331075075826,0.0148056862434894,2
3_1,Metridia,Calanoida,0.1362596487571402,0.025078430285969684,0.002961365893707993,0.013709890122053404,-0.010748524228345411,-0.1362596487571402,1
3_1,Calanus,Calanoida,0.08885727934246015,0.025473145985005174,0.023338131783094677,0.002512077830330411,0.020826053952764267,0.08885727934246015,3
3_1,Clausocalanus,Calanoida,0.08833817900142624,0.020037023513822326,8.996012031692476e-4,0.01876165137582079,-0.01786205017265154,-0.08833817900142624,1
3_1,Pleuromamma,Calanoida,0.07150064937794692,0.020487121583787453,0.007023777299941007,0.008361155161906324,-0.0013373778619653167,-0.07150064937794692,1
3_1,Neocalanus,Calanoida,0.059769672688633056,0.01835360090995024,7.017515739776534e-4,0.01882962201599811,-0.018127870442020456,-0.059769672688633056,1
3_1,Ctenocalanus,Calanoida,0.02115587975483958,0.009654311315083628,1.5801269871322542e-4,0.018142339218398158,-0.017984326519684932,-0.02115587975483958,1
3_1,Rhincalanus,Calanoida,0.015148895676896005,0.008341913524534549,0.01717819735107881,0.0021442029847566655,0.015033994366322145,0.015148895676896005,3
3_1,Calocalanus,Calanoida,0.010841611006084814,0.0073367339734664696,0,0.014083513288444064,-0.014083513288444064,-0.010841611006084814,1
3_1,Paracalanus,Calanoida,0.00914771387666411,0.005438506092263333,0.0016007954854155267,0.012193385427369552,-0.010592589941954025,-0.00914771387666411,1
3_1,Eucalanus,Calanoida,0.007135589808817243,0.007035849067110376,0.029765897339442078,0.0054215956716299595,0.024344301667812117,0.007135589808817243,3
3_4,Calanus,Calanoida,0.14401957145581265,0.040820398623969224,0.023338131783094677,0.003336453869562613,0.020001677913532065,0.14401957145581265,3
3_4,Pleuromamma,Calanoida,0.13540875797249727,0.046020132391737155,0.007023777299941007,0.012606683136532498,-0.0055829058365914905,-0.13540875797249727,4
3_4,Metridia,Calanoida,0.05192404998090079,0.0173656556313858,0.002961365893707993,0.0010812981856931103,0.0018800677080148829,0.05192404998090079,3
3_4,Neocalanus,Calanoida,0.04344447267007543,0.0341483500475692,7.017515739776534e-4,0.00807177257836371,-0.0073700210043860575,-0.04344447267007543,4
3_4,Candacia,Calanoida,0.04215091493998789,0.025918213442588836,0.0034984503495405304,0.024578614074662816,-0.021080163725122288,-0.04215091493998789,4
3_4,Rhincalanus,Calanoida,0.021744587545871018,0.012312444964293201,0.01717819735107881,0.0016954792662421591,0.015482718084836651,0.021744587545871018,3
3_4,Eucalanus,Calanoida,0.014614499004824505,0.012781259665402092,0.029765897339442078,0.017305980660741446,0.012459916678700632,0.014614499004824505,3
3_4,Clausocalanus,Calanoida,0.012207669389276215,0.009622349464217741,8.996012031692476e-4,0.0010572540125504723,-1.5765280938122468e-4,-0.012207669389276215,4
3_4,Tomopteris,Phyllodocida,0.009447925089637373,0.01893398162123212,0.006007879620280213,0.017014895232902987,-0.011007015612622774,-0.009447925089637373,4
3_4,Mnemiopsis,Lobata,0.00754972122309373,0.014622022004322305,0,0.040166920433909584,-0.040166920433909584,-0.00754972122309373,4
