Hash,C1.T7.H9_S1,C1.T7.H9_S2,C1.T7.H9_S3,C1.T8.H10_S1,C1.T8.H10_S2,C1.T8.H10_S3,C2.T8.H18_S1,C2.T8.H18_S2,C2.T8.H18_S3,C2.T9.H19_S1,C2.T9.H19_S2,C2.T9.H19_S3,C3.T6.H25_S1,C3.T6.H25_S2,C3.T6.H25_S3,C3.T7.H26_S1,C3.T7.H26_S2,C3.T7.H26_S3,CT1.T1.H28_S1,CT1.T1.H28_S2,CT1.T1.H28_S3,CT1.T2.H29_S1,CT1.T2.H29_S2,CT1.T2.H29_S3,CT1.T3.H30_S1,CT1.T3.H30_S2,CT1.T3.H30_S3,CT1.T4.H31_S1,CT1.T4.H31_S2,CT1.T4.H31_S3,CT1.T5.H32_S1,CT1.T5.H32_S2,CT1.T5.H32_S3,CT1.T6.H33_S1,CT1.T6.H33_S2,CT1.T6.H33_S3,CT1.T7.H34_S1,CT1.T7.H34_S2,CT1.T7.H34_S3,CT1.T8.H35_S1,CT1.T8.H35_S2,CT1.T8.H35_S3,CT2.T1.H36_S1,CT2.T1.H36_S2,CT2.T1.H36_S3,CT2.T4.H39_S1,CT2.T4.H39_S2,CT2.T4.H39_S3,CT2.T8.H43_S1,CT2.T8.H43_S2,CT2.T8.H43_S3
a19023e2938b2d4c19d5e2b8c4962e8bcd73177d,101,19,2246,5,0,39,0,199,50,,27,0,0,211,0,182,158,0,254,322,237,178,1552,191,252,0,0,0,75,0,74,117,1278,32,52,0,0,0,0,363,95,565,49,122,127,2992,0,472,0,7,85
a200a5e36062c3f55c14ae2fa7529f542abf7271,19,0,15,0,0,0,0,0,0,,62,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,96,0,0,0,7,0,103,120,0,0,78
a32d276e30f76e771318e8c516046bc05f72db69,818,640,2352,0,344,104,0,2062,1032,,0,0,9026,1302,0,7306,1268,0,1246,1988,1294,7580,16918,112,21622,520,0,2014,864,0,2378,950,4104,1420,3674,0,404,0,0,946,0,294,154,522,852,398,0,0,234,0,0
aa402190637f9ea9de675c56deb415404b7f2a41,8,0,0,0,4,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
af443937679001ea966beb10277f43108c2bc0db,218,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,4,0,0
b0c15e6164ee940205efe0f1e1a0a0c19435ec9f,77088,176600,17198,45994,4238,76,99500,70918,356,,1922,668,16068,11326,0,39598,1372,0,323834,147320,1792,95816,56930,748,20014,7502,28,87794,14272,98,78032,66472,3192,82928,27714,0,29010,80,0,193392,3986,3074,101028,99762,104448,190,40,0,90022,1706,0
b1da317bdae700a0a50428e6d7b3df43f3047268,24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0
b308f1ff1c8a4490fc47c87f05295b7e5a4a6610,43,5,54,0,0,0,0,192,0,,0,0,57,17,0,68,0,0,0,52,197,32,132,0,271,0,0,30,0,0,85,16,0,0,0,0,29,0,0,15,0,0,0,0,29,0,0,0,0,0,0
b39500169f19f6f7dc74cde23a266fe3bd9d8079,418,178,76,200,142,6,36,412,512,,0,68,0,0,0,56,0,0,286,660,28,8,0,0,0,0,0,18,0,0,354,886,28,0,0,0,126,0,0,304,38,0,226,1134,1182,118,0,0,462,48,0
b7e0a792f7202517d04a74a0a5b2c65867540302,378,0,0,0,0,0,217,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
