"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S3.2","C1.T8.H10_S3.2","C2.T8.H18_S3.1","C2.T8.H18_S3.2","C2.T9.H19_S3.2","C3.T6.H25_S3.1","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S3.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","CT1.T6.H33_S3.1","CT1.T6.H33_S3.2","CT1.T7.H34_S3.1","CT1.T7.H34_S3.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","C1.T7.H9_S3.3","C1.T8.H10_S3.3","C2.T8.H18_S3.3","C2.T9.H19_S3.3","C3.T7.H26_S3.3","CT1.T1.H28_S3.3","CT1.T4.H31_S3.3","CT1.T5.H32_S3.3","CT1.T6.H33_S3.3","CT1.T7.H34_S3.3","CT2.T1.H36_S3.3","CT2.T4.H39_S3.3","CT2.T8.H43_S3.3"
"NA.85077e08965d11e7bf3ed5bab4bfd42a4968aa89",755,684,494,219,243,290,0,0,271,0,0,0,0,0,0,580,3087,713,1309,0,0,0,873,2048,927,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4478,634,0,0,0,0,0,0
".856adbbd6780d096aa923a18481a9884b70edf25",123,0,88,0,0,59,0,0,0,0,14,0,0,1626,0,0,82,0,0,0,0,0,0,0,0,0,0,0,82,220,0,53,0,48,696,10561,21,46,0,0,0,0,0,0,0,0,0,0,0,2846,0
"Calanus helgolandicus.894f73dc6883f29a838304fd218efdfaf12bd154",480,495,403,304,369,388,267,324,246,184,279,0,0,0,0,0,0,164,374,0,0,0,0,0,0,4,0,0,0,0,0,416,0,229,0,0,0,0,36,0,30,0,0,1042,0,0,0,0,0,0,0
"Metridia pacifica.97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",359,333,318,241,305,326,353,313,265,902,0,0,30,29,0,0,0,0,0,0,0,0,0,0,122,171,0,0,0,0,0,119,0,646,0,0,0,0,417,0,100,0,0,57,0,57,0,0,175,0,0
"Calanus.9b9f6e13b644886afad8864d6601b2000dae17a0",123,100,87,61,82,83,62,49,81,37,46,1,6,380,0,0,1,1,5,0,0,0,0,2,0,0,0,0,80,253,6,49,16,305,155,1275,44,176,9,0,16,482,0,15,0,0,0,0,16,269,65
".a19023e2938b2d4c19d5e2b8c4962e8bcd73177d",328,263,212,73,89,0,0,0,0,1985,39,0,5,0,0,0,0,0,50,31,160,0,0,0,364,853,0,0,0,0,93,472,0,127,0,472,0,85,261,0,45,0,0,187,0,61,0,0,0,0,0
"Pleuromamma.a32d276e30f76e771318e8c516046bc05f72db69",287,208,194,122,140,168,73,100,139,1006,52,0,70,0,0,0,0,90,159,32,24,0,0,0,769,1044,0,0,0,0,15,132,21,342,0,0,0,0,170,0,446,0,0,398,0,239,0,0,63,0,0
"Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",29592,24827,21245,11104,13597,13425,7261,8752,7702,7074,38,0,20,224,0,0,0,63,214,47,327,14,0,49,510,976,0,0,0,0,232,1305,1683,43767,0,0,0,0,1525,0,158,110,0,619,0,110,0,0,6774,0,0
"Rhincalanus.b39500169f19f6f7dc74cde23a266fe3bd9d8079",134,108,123,89,115,110,76,78,76,25,3,0,54,34,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,479,0,0,0,0,13,0,202,0,0,14,0,0,0,0,112,0,0
".bb43537ab7d266d059e40deb9e1f8536790adc35",470,368,333,207,216,209,85,98,114,3744,0,40,200,65,63,0,0,142,234,0,64,0,28,103,768,1523,0,0,0,0,0,510,26,338,19,305,20,108,916,0,905,0,0,592,0,376,0,0,20,63,25
".e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc",218,155,155,104,168,144,85,96,128,57,30,0,0,411,0,0,2,15,0,0,1,0,0,6,0,0,0,0,86,482,5,46,12,372,218,2208,62,351,6,0,0,741,0,20,0,0,0,105,37,669,95
"NA.e09b485dd4d1bd133e7845d395237f38d661eb69",14919,12507,9252,4325,4936,5908,2399,2741,5695,0,0,0,0,0,282,17642,83493,16061,28623,49,269,780,36593,87349,32795,39356,36,52,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2002,95562,27435,7366,0,0,0,0,0
"Metridia pacifica.e199318c40876066960330bd9ea208fb7639a760",4324,3835,3851,2978,3691,3589,2774,3295,2768,285,0,0,0,23,0,0,0,14,23,0,0,0,0,0,0,0,0,0,0,0,25,180,149,2945,0,0,0,0,83,0,0,56,0,62,0,0,0,0,596,109,0
"Pleuromamma.fa7356df1a872486053eb1a14ff614012cdadde9",218,207,156,61,38,49,11,7,15,444,763,0,50,0,789,0,0,293,628,360,851,0,0,0,786,1487,0,0,0,0,23,143,0,87,0,0,0,17,38,111,374,0,0,1411,0,149,0,0,4,0,0
".ff62c6fc3f5f5a03af66155247b74210ad634523",189,163,183,97,173,104,88,113,121,147,28,0,124,609,0,0,4,12,0,0,0,0,0,0,54,90,0,0,14,45,11,78,25,580,72,551,9,78,36,0,512,1069,0,29,0,0,0,27,88,228,29
"Calanus helgolandicus.2010a621a13cf49374bf4c950a42175421a652b0",441,443,340,335,387,326,328,383,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,136,294,0,164,0,0,0,0,0,892,257
"Other",16528,13763,11182,6532,7884,7456,3736,4379,4931,7240,5946,556,17205,10184,464,615,6963,1862,3207,7740,18363,34750,3545,8953,4777,7421,2575,23460,585,2282,180,7001,66,4509,790,12804,168,3379,2385,743,63852,6533,0,10193,93,92,8544,744,1060,5454,1670
