"","C1.T7.H9_S1.1","C1.T7.H9_S1.2","C1.T7.H9_S2.1","C1.T7.H9_S2.2","C1.T7.H9_S3.2","C1.T8.H10_S1.2","C1.T8.H10_S2.1","C1.T8.H10_S2.2","C1.T8.H10_S3.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T8.H18_S3.1","C2.T8.H18_S3.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C2.T9.H19_S3.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T6.H25_S3.1","C3.T7.H26_S1.1","C3.T7.H26_S1.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T3.H30_S2.1","CT1.T3.H30_S3.2","CT1.T4.H31_S1.1","CT1.T4.H31_S1.2","CT1.T4.H31_S2.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T6.H33_S3.1","CT1.T6.H33_S3.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T7.H34_S3.1","CT1.T7.H34_S3.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","20C_Pooled.A1.A3.1","20C_Pooled.A1.A3.2","20C_Pooled.A1.A3.3","20C_Pooled.B3.B5.1","20C_Pooled.B3.B5.2","20C_Pooled.B3.B5.3","20C_Pooled.C5.C7.1","20C_Pooled.C5.C7.2","20C_Pooled.C5.C7.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","24C_Pooled.A1.A3.1","24C_Pooled.A1.A3.2","24C_Pooled.A1.A3.3","24C_Pooled.B3.B5.1","24C_Pooled.B3.B5.2","24C_Pooled.B3.B5.3","24C_Pooled.C5.C7.1","24C_Pooled.C5.C7.2","24C_Pooled.C5.C7.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","28C_Pooled.A1.A3.1","28C_Pooled.A1.A3.2","28C_Pooled.B3.B5.1","28C_Pooled.B3.B5.2","28C_Pooled.B3.B5.3","28C_Pooled.C5.C7.1","28C_Pooled.C5.C7.2","28C_Pooled.C5.C7.3","C1.T7.H9_S1.3","C1.T7.H9_S2.3","C1.T7.H9_S3.3","C1.T8.H10_S1.3","C1.T8.H10_S3.3","C2.T8.H18_S1.3","C2.T8.H18_S2.3","C2.T8.H18_S3.3","C2.T9.H19_S2.3","C2.T9.H19_S3.3","C3.T6.H25_S1.3","C3.T6.H25_S2.3","C3.T7.H26_S1.3","C3.T7.H26_S2.3","C3.T7.H26_S3.3","CT1.T1.H28_S1.3","CT1.T1.H28_S2.3","CT1.T1.H28_S3.3","CT1.T2.H29_S1.3","CT1.T2.H29_S2.3","CT1.T3.H30_S1.3","CT1.T4.H31_S1.3","CT1.T4.H31_S2.3","CT1.T4.H31_S3.3","CT1.T5.H32_S1.3","CT1.T5.H32_S2.3","CT1.T5.H32_S3.3","CT1.T6.H33_S1.3","CT1.T6.H33_S3.3","CT1.T7.H34_S1.3","CT1.T7.H34_S2.3","CT1.T7.H34_S3.3","CT1.T8.H35_S1.3","CT1.T8.H35_S2.4","CT2.T1.H36_S1.3","CT2.T1.H36_S3.3","CT2.T4.H39_S2.3","CT2.T4.H39_S3.3","CT2.T8.H43_S1.3","CT2.T8.H43_S2.3","CT2.T8.H43_S3.3"
"Eucalanus californicus.247f09ccc8ae0ecc2da039900610e5494db93abe",0,90,0,0,73,0,0,4,225,0,5,8,16,5,34,0,0,2202,0,0,18,62,0,0,0,9,17,0,5,0,10,0,4,11,0,0,0,90,554,0,20,0,0,21,0,0,0,64,0,24,0,24,93,333,34,153,0,0,123,271,0,0,45,6,12,57,6,75,0,42,0,41,12,56,0,94,76,132,53,472,178,456,1,3,21,1246,0,3,11,8,31,92,416,312,281,156,119,210,335,237,188,206,439,217,89,84,92,115,68,37,187,157,132,125,108,180,19,16,33,0,0,6,19,27,12,19,6,99,0,9,0,0,0,43,339,0,1310,0,7,11,0,0,0,0,39,0,45,0,78,0,0,5,66,0,0,0,8,0,0,204,0,0,4,0,23,0,0,3
"Metridia pacifica.2cfd457adc6936d89195dd4765ae81286f8b0ed5",52,2688,65,1317,529,1006,74,713,0,82,900,401,1444,0,0,38,202,15,0,69,0,112,0,0,111,0,58,0,0,79,2233,1127,1826,15,22,388,389,126,183,0,0,396,364,194,0,0,102,420,0,0,544,1427,537,938,0,0,0,241,94,1188,0,0,130,1669,11,12,0,0,1248,1743,35,614,28,171,76,3285,4181,2956,111,4314,0,43,15,47,0,0,790,1029,37,406,0,0,3661,3512,3670,3773,2774,4191,2234,1123,57,1261,2710,1018,2902,3565,3393,5297,2926,2940,2747,2318,2175,2620,1595,1800,2898,3593,2825,1533,2704,1917,1417,2904,1506,1620,1048,1474,792,313,617,0,2105,2985,0,315,45,0,130,560,0,0,1842,2426,70,638,355,193,565,0,0,2802,982,0,380,0,2616,0,0,1780,412,613,1637,44,47,1316,0,0
".2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",68,3420,0,156,7683,538,159,577,21046,144,539,664,1903,304,5362,2326,15221,12424,155,1124,0,0,262,0,0,0,0,0,0,0,457,0,0,323,819,0,0,1009,2158,0,91,0,0,0,0,0,0,0,270,1359,0,0,0,0,0,0,0,0,0,819,215,699,0,0,0,151,346,1294,711,2299,408,7413,1159,13087,158,2775,0,300,19,673,0,0,2682,5910,0,0,3226,5177,229,329,1452,10807,8848,5942,4818,7725,7397,11229,225,224,223,3848,7057,4363,2716,3816,3497,11697,6695,5052,250,216,131,4921,3338,4636,1766,2273,4127,2329,3214,0,0,0,1828,2099,1092,4534,0,3097,228,5274,967,2473,24520,20208,0,436,0,0,0,0,0,0,3706,0,2412,0,0,0,66,0,0,0,0,0,191,23,539,1094,2647,449,22,5046,0,6217,0,4885
"Metridia.32c7429ef986d3d6e6568889cab2755dd190fdbc",0,96,0,0,40,0,0,12,0,0,3,13,17,0,0,0,0,23,0,1,0,30,0,0,0,0,12,0,0,0,11,0,13,0,1,0,0,68,134,0,0,0,0,17,0,0,0,51,0,0,8,29,185,414,0,0,0,0,30,165,0,0,26,37,2,5,0,0,19,32,0,20,4,19,0,27,214,172,17,405,0,12,0,0,0,0,0,7,4,3,0,0,68,45,44,43,36,50,70,31,18,22,51,25,36,42,53,58,42,37,65,64,56,37,25,35,32,30,30,22,0,30,27,51,18,23,10,41,0,12,0,0,0,80,0,0,31,0,16,15,0,0,0,0,3,0,51,0,12,0,0,10,133,0,0,0,37,0,0,23,0,0,21,0,2,0,0,0
"Calanus helgolandicus.341d37f9958a54163d7987e0dc5bb17818c5c7d8",0,110,0,0,88,0,0,195,0,0,0,0,77,0,0,0,126,44,0,0,0,0,0,0,0,0,0,0,0,0,27,28,34,0,20,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,17,37,0,3,0,0,0,2,0,75,0,0,0,59,0,245,0,156,0,14,0,541,0,65,0,86,113,79,0,101,31,439,292,698,576,2928,19,37,0,345,62,962,313,287,312,45,50,72,49,20,0,275,478,272,284,288,309,86,43,43,45,33,44,563,372,300,294,318,256,0,39,19,25,48,366,396,319,63,0,30,0,0,0,128,8,119,95,0,0,11,0,0,0,35,55,0,0,0,0,0,0,59,0,0,0,0,111,0,0,173,347,0,0,675,2277,27,0,703
"Metridia pacifica.3855bfab8b2afdb2b740530c990e9a2535c5a15b",81,6218,167,3594,1031,2054,167,1428,10,317,2082,1002,4029,0,0,99,253,0,0,188,0,169,0,0,271,23,62,0,0,312,6406,2895,4523,24,55,353,613,211,423,0,0,612,520,160,0,0,143,776,0,0,842,2529,564,1378,0,0,0,322,370,2953,0,0,566,2756,0,95,0,0,2678,4832,170,2188,0,392,342,10339,8265,7383,421,11783,0,45,0,39,0,0,1624,2384,280,1143,0,0,10699,9996,9059,8976,7052,10426,4688,2348,564,3837,8489,3663,6637,7841,7838,12120,6187,5021,5640,4558,4239,6119,3837,5139,4882,5759,4685,2694,4573,2485,2281,4809,2132,2752,1399,3166,1974,271,1167,0,4829,4378,0,188,0,80,116,550,0,0,3363,4837,166,582,345,201,1147,0,0,3093,1184,0,0,0,3387,0,0,3397,323,1014,2604,0,0,1962,0,0
"Oithona similis.388725f240f778bbad66a1a652b752a88fd3956a",0,252,0,0,0,47,0,0,0,35,63,0,0,0,0,0,0,0,18,77,0,0,0,107,111,0,0,0,0,9,209,0,0,0,0,30,116,0,0,0,0,97,82,0,0,0,0,0,0,0,24,202,0,0,0,0,42,110,0,5,0,0,0,0,0,0,0,0,34,270,0,0,0,0,115,1532,81,109,0,0,0,0,0,0,0,0,22,30,0,0,0,0,371,296,221,422,370,603,185,188,80,88,130,76,82,136,104,419,262,123,161,132,107,72,0,62,14,34,62,0,29,0,0,43,0,0,0,242,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,135,0,0,46,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
".3907c0c3540893fea852cf1e2e15ee876e097dc1",0,520,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,805,0,0,0,293,384,0,0,0,0,0,244,156,178,0,0,634,1045,5732,13480,0,0,789,587,11807,0,89,93,0,0,0,33,282,89,272,158,538,0,93,947,6050,0,0,208,266,0,171,465,2045,1698,5625,0,565,240,2607,0,1508,0,230,0,306,263,899,0,717,152,2611,0,0,0,0,0,1047,2365,1584,1339,1268,1175,1753,1146,851,306,991,1789,1068,755,1074,936,1865,1100,747,1056,853,580,1164,844,1250,488,570,1098,309,456,252,367,455,459,502,268,699,0,0,0,0,0,1004,1455,493,0,343,0,322,0,0,0,42,846,376,11544,65,3866,0,0,130,78,0,37,0,282,0,671,2731,202,164,0,614,516,0,0,437
"Metridia pacifica.3a4660f8928b0bba5379764b63c8f98ae30a1d3b",0,636,0,1551,1258,0,0,345,207,0,0,0,341,0,12,0,0,0,115,1764,352,2285,18,645,1429,59,161,0,0,0,1653,633,925,162,392,1743,2747,2025,4172,357,860,2273,2378,146,0,0,220,739,0,0,176,606,194,546,396,609,0,202,176,1433,0,0,0,0,0,0,0,0,519,893,0,57,110,892,0,819,1202,1073,0,1526,14,62,0,0,0,0,954,1560,0,55,0,0,780,718,589,1354,987,1448,1480,739,153,165,434,238,426,524,507,1638,857,783,1713,1366,1340,255,184,206,347,439,331,0,661,778,727,1433,114,122,80,0,784,343,0,41,0,2458,48,0,0,573,1089,2067,0,0,748,867,717,2187,3209,548,1278,0,0,564,324,71,0,0,0,0,0,429,0,0,292,0,0,1068,0,0
".3b46a0689c4dc296a5046eb3cfb003a0ca04e7fe",0,184,0,0,86,0,0,12,13,0,0,0,22,0,19,3,0,0,0,0,0,73,0,0,0,0,50,0,0,0,0,18,0,0,0,0,0,103,254,0,0,0,0,0,0,0,0,104,0,0,15,51,399,959,36,47,0,0,0,227,0,0,0,73,0,0,0,0,39,54,0,6,0,31,0,55,459,267,20,614,0,51,0,0,0,0,9,0,0,0,0,0,81,81,67,124,73,148,193,149,0,31,52,26,52,84,70,146,110,79,250,204,177,45,28,40,48,60,72,34,49,130,153,269,29,36,14,121,0,0,0,0,0,294,56,0,0,0,64,109,0,0,0,7,0,0,251,0,0,0,0,67,418,0,0,0,65,0,0,76,0,15,144,0,0,9,0,0
