"","Sample_ID","max_size","Sample_ID_short","cycle","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth"
"24","CT1-T2-H29_S3",2,"CT1-T2-H29","T1",18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.9071457364341,0.1229,1,524.184084319894,11
"25","CT1-T3-H30_S1",0.5,"CT1-T3-H30","T1",18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.521482869379,24.685,1,450.78657056882,86
"26","CT1-T3-H30_S2",1,"CT1-T3-H30","T1",18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.521482869379,24.685,1,450.78657056882,86
"27","CT1-T3-H30_S3",2,"CT1-T3-H30","T1",18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.521482869379,24.685,1,450.78657056882,86
"28","CT1-T4-H31_S1",0.5,"CT1-T4-H31","T1",18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434390955507,39.938,0,353.655939666171,84
"29","CT1-T4-H31_S2",1,"CT1-T4-H31","T1",18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434390955507,39.938,0,353.655939666171,84
"30","CT1-T4-H31_S3",2,"CT1-T4-H31","T1",18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434390955507,39.938,0,353.655939666171,84
"31","CT1-T5-H32_S1",0.5,"CT1-T5-H32","T1",17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.154637508673,5
"32","CT1-T5-H32_S2",1,"CT1-T5-H32","T1",17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.154637508673,5
"33","CT1-T5-H32_S3",2,"CT1-T5-H32","T1",17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.154637508673,5
"34","CT1-T6-H33_S1",0.5,"CT1-T6-H33","T1",17.6749473684211,23.6387842105263,NA,32.7639842105263,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.8642049180329,44.366,1,220.305053943031,78
"35","CT1-T6-H33_S2",1,"CT1-T6-H33","T1",17.6749473684211,23.6387842105263,NA,32.7639842105263,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.8642049180329,44.366,1,220.305053943031,78
"36","CT1-T6-H33_S3",2,"CT1-T6-H33","T1",17.6749473684211,23.6387842105263,NA,32.7639842105263,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.8642049180329,44.366,1,220.305053943031,78
"37","CT1-T7-H34_S1",0.5,"CT1-T7-H34","T1",16.2297888888889,24.6426277777778,NA,33.6315222222222,0.18025,5.198,4.7105,0.991344444444444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.8938901098902,61.179,1,164.323309541035,55
"38","CT1-T7-H34_S2",1,"CT1-T7-H34","T1",16.2297888888889,24.6426277777778,NA,33.6315222222222,0.18025,5.198,4.7105,0.991344444444444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.8938901098902,61.179,1,164.323309541035,55
"39","CT1-T7-H34_S3",2,"CT1-T7-H34","T1",16.2297888888889,24.6426277777778,NA,33.6315222222222,0.18025,5.198,4.7105,0.991344444444444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.8938901098902,61.179,1,164.323309541035,55
"40","CT1-T8-H35_S1",0.5,"CT1-T8-H35","T1",16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.7623714285714,8.3863,0,119.484327228147,10
"41","CT1-T8-H35_S2",1,"CT1-T8-H35","T1",16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.7623714285714,8.3863,0,119.484327228147,10
"42","CT1-T8-H35_S3",2,"CT1-T8-H35","T1",16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.7623714285714,8.3863,0,119.484327228147,10
"43","CT2-T1-H36_S1",0.5,"CT2-T1-H36","T2",15.831225,24.523775,70.634,33.3592625,NA,NA,NA,2.00485,144.391,19.85366667,NA,NA,NA,17.868,2.443066667,23.8911457142857,68.88,1,395.828345736245,60
"44","CT2-T1-H36_S2",1,"CT2-T1-H36","T2",15.831225,24.523775,70.634,33.3592625,NA,NA,NA,2.00485,144.391,19.85366667,NA,NA,NA,17.868,2.443066667,23.8911457142857,68.88,1,395.828345736245,60
"45","CT2-T1-H36_S3",2,"CT2-T1-H36","T2",15.831225,24.523775,70.634,33.3592625,NA,NA,NA,2.00485,144.391,19.85366667,NA,NA,NA,17.868,2.443066667,23.8911457142857,68.88,1,395.828345736245,60
"46","CT2-T4-H39_S1",0.5,"CT2-T4-H39","T2",16.11135,24.6348375,81.589375,33.58603125,NA,NA,NA,1.3498,244.565,19.854,NA,NA,NA,13.898,2.579066667,32.9056190476191,46.21,1,41.8635927597508,45
"47","CT2-T4-H39_S2",1,"CT2-T4-H39","T2",16.11135,24.6348375,81.589375,33.58603125,NA,NA,NA,1.3498,244.565,19.854,NA,NA,NA,13.898,2.579066667,32.9056190476191,46.21,1,41.8635927597508,45
"48","CT2-T4-H39_S3",2,"CT2-T4-H39","T2",16.11135,24.6348375,81.589375,33.58603125,NA,NA,NA,1.3498,244.565,19.854,NA,NA,NA,13.898,2.579066667,32.9056190476191,46.21,1,41.8635927597508,45
"49","CT2-T8-H43_S1",0.5,"CT2-T8-H43","T2",15.68699375,25.07190625,77.0835625,34.03350625,NA,5.491,NA,1.07124375,161.261,14.891,NA,NA,NA,9.927,1.530533333,40.8331421052632,43.725,1,52.4082291080906,47
"50","CT2-T8-H43_S2",1,"CT2-T8-H43","T2",15.68699375,25.07190625,77.0835625,34.03350625,NA,5.491,NA,1.07124375,161.261,14.891,NA,NA,NA,9.927,1.530533333,40.8331421052632,43.725,1,52.4082291080906,47
"51","CT2-T8-H43_S3",2,"CT2-T8-H43","T2",15.68699375,25.07190625,77.0835625,34.03350625,NA,5.491,NA,1.07124375,161.261,14.891,NA,NA,NA,9.927,1.530533333,40.8331421052632,43.725,1,52.4082291080906,47
