"","C1-T7-H9","C1-T8-H10","C2-T8-H18","C2-T9-H19","C3-T6-H25","C3-T7-H26","CT1-T1-H28","CT1-T2-H29","CT1-T3-H30","CT1-T4-H31","CT1-T5-H32","CT1-T6-H33","CT1-T7-H34","CT1-T8-H35","CT2-T1-H36","CT2-T4-H39","CT2-T8-H43"
"PC1",6.44967159086927,4.08009095410546,3.43286330972792,2.76117872001831,-4.5098477781846,-4.34673514655564,-2.00912153769128,-3.32342938158119,-3.64996846320746,-3.19120252554327,-2.01300398413028,-2.7500530264519,1.00513938954881,1.22076988087062,2.11375215303933,1.85378923815232,2.87610660701357
"PC2",2.4835368231468,-0.65340746245653,-2.77662871118405,-1.05020137282357,0.797195401574442,1.28272507675359,-1.88908271271204,-0.117372174005988,0.69526293217493,-0.0270525214901073,-1.23972860374329,0.580339991783625,1.03936653085701,-2.13101841784971,0.468256642073869,1.09095292921924,1.44685564868177
"PC3",1.06197480545875,-1.85042880779322,2.03272136394369,1.89988491588203,0.662956468738406,1.71673451866925,-1.39982853365753,0.764539523356679,0.684972049342137,-0.593811744232785,-2.1075426723781,-0.107380507518954,-1.36241825725367,0.293727080246706,0.354369012570441,-0.864280567367838,-1.18618864800598
"PC4",-2.35662169243261,0.814633876868632,-0.363941274383817,0.553573677971588,0.921180114873449,0.851808021176902,-1.84154771866803,-0.818998936386971,-0.600228868568198,-0.107360890455803,-1.10908135717939,-0.265147674195541,0.703494673635671,1.61485677481533,0.177473797665784,0.751833977361475,1.07407349790152
"PC5",-0.42531243967839,-0.615519704077352,-1.07141259298702,0.58997283221472,-2.17445927974369,-0.735253508377789,0.0692028674278251,1.87677391042253,1.25498468541838,-0.720942888260895,-0.91705313596304,0.719897034752134,0.849664401405868,1.17623516443989,-0.237365199169618,-0.260023005073104,0.62061085724954
"PC6",0.687210121248014,0.58980209371025,-0.38393229656282,-1.24020444792767,0.700813134339794,0.812523823658372,1.45131584956351,0.20158971685848,-0.450506780072172,-0.769109597786802,-1.24992251980516,-0.830059774600392,0.717206998484197,1.14538124254004,0.00388326092486522,-1.11833640395834,-0.26765442061419
"PC7",0.510608107239685,1.19127696484626,-0.34938140215043,-0.160109098805599,0.327389390747658,-0.72841669429963,-0.77813538920686,-0.0855061157132989,1.00163625648176,1.00405220598514,-0.292924517057486,0.104098798292418,-0.709664039671445,0.58125104507491,-0.537995290145743,-0.732626089069885,-0.345554132547456
"PC8",-0.0708623648641851,0.681927494103029,-1.33345503053274,1.37766719405779,0.0213998269950423,0.330913916075127,0.256744492132322,-0.0978334570202146,-0.0258283331755601,-0.539375890895939,0.449350190444934,-0.281794427796016,-0.328507473531138,-0.239764071812443,0.909599718740118,-0.372857658146625,-0.737324124773481
"PC9",0.554002494044344,-0.378455584473644,-0.515488488394799,0.440409005846685,0.554205191240369,-0.135538277484628,-0.288927837904069,0.875179055113523,-0.854311860829931,-0.0640137586556934,0.678267859775981,-0.609758482080167,-0.22954296153338,0.619771174780307,-1.14608322167888,0.404306530667715,0.0959791615662729
"PC10",-0.194891882044108,0.726576495026295,0.399479909985699,0.321433376465568,0.0652133965590085,0.164118180867219,-0.173133567244247,0.373863409436611,0.151513850280198,-0.323867314502495,-0.0812829627233993,-0.127109992930286,0.822107807793386,-0.855693755322191,-0.833598224919413,-0.168900003069102,-0.265828723658735
