"","C1-T7-H9_S1","C1-T7-H9_S2","C1-T7-H9_S3","C1-T8-H10_S1","C1-T8-H10_S2","C1-T8-H10_S3","C2-T8-H18_S1","C2-T8-H18_S2","C2-T8-H18_S3","C2-T9-H19_S2","C2-T9-H19_S3","C3-T6-H25_S1","C3-T6-H25_S2","C3-T6-H25_S3","C3-T7-H26_S1","C3-T7-H26_S2","C3-T7-H26_S3","CT1-T1-H28_S1","CT1-T1-H28_S2","CT1-T1-H28_S3","CT1-T2-H29_S1","CT1-T2-H29_S2","CT1-T2-H29_S3","CT1-T3-H30_S1","CT1-T3-H30_S2","CT1-T3-H30_S3","CT1-T4-H31_S1","CT1-T4-H31_S2","CT1-T4-H31_S3","CT1-T5-H32_S1","CT1-T5-H32_S2","CT1-T5-H32_S3","CT1-T6-H33_S1","CT1-T6-H33_S2","CT1-T6-H33_S3","CT1-T7-H34_S1","CT1-T7-H34_S2","CT1-T7-H34_S3","CT1-T8-H35_S1","CT1-T8-H35_S2","CT1-T8-H35_S3","CT2-T1-H36_S1","CT2-T1-H36_S2","CT2-T1-H36_S3","CT2-T4-H39_S1","CT2-T4-H39_S2","CT2-T4-H39_S3","CT2-T8-H43_S1","CT2-T8-H43_S2","CT2-T8-H43_S3","20C_Pooled-C5-C7.1","20C_Pooled-C5-C7.2","20C_Pooled-C5-C7.3","24C_Pooled-C5-C7.1","24C_Pooled-C5-C7.2","24C_Pooled-C5-C7.3","28C_Pooled-C5-C7.1","28C_Pooled-C5-C7.2","28C_Pooled-C5-C7.3","20C_Pooled-A1-A3.1","20C_Pooled-A1-A3.2","20C_Pooled-A1-A3.3","24C_Pooled-A1-A3.1","24C_Pooled-A1-A3.2","24C_Pooled-A1-A3.3","28C_Pooled-A1-A3.1","28C_Pooled-A1-A3.2","20C_Pooled-B3-B5.1","20C_Pooled-B3-B5.2","20C_Pooled-B3-B5.3","24C_Pooled-B3-B5.1","24C_Pooled-B3-B5.2","24C_Pooled-B3-B5.3","28C_Pooled-B3-B5.1","28C_Pooled-B3-B5.2","28C_Pooled-B3-B5.3","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","Kingdom","Subphylum","Subclass","Superorder"
" 56db9b8934558866af0f1f1eaf48a1122b20eb51",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,26.6666666666667,0,0,21.3333333333333,25,0,76.6666666666667,22,0,38,6,0,135.666666666667,0,0,15,26,0,0,0.666666666666667,0,2.33333333333333,0,0,0,5,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,13,10,0,0,0,0,0,139,72,43,159,135,108,21,49,69,25,16,18,8,5,14,0,0,12,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 58aec46ab4910cf08bbfda67e8aa7321828ce906",46.6666666666667,0,143.5,0,50.5,0,0,71.3333333333333,0,88,0,0,0,0,0,0,0,6.66666666666667,43,44.3333333333333,0,7.33333333333333,0,19,0,0,0,12.5,0,11.3333333333333,12.3333333333333,0,0,24.5,0,2,69.3333333333333,8.66666666666667,28,223.333333333333,45.5,12.6666666666667,81,30.3333333333333,343,142.666666666667,326,0,17.6666666666667,118.333333333333,100,226,134,216,162,140,107,150,91,60,38,65,55,49,35,0,0,20,0,0,32,23,16,22,0,29,162,148,141,126,148,146,84,112,122,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 5c28fb044703f8d7dc9a17c20a178f0e34feb322",1606.66666666667,714,456.5,638,589,6.5,1097.33333333333,1438,0,234.333333333333,18,0,0,0,82,0,0,1004.66666666667,1505,158.666666666667,111.333333333333,0,5.5,0,17,0,113.333333333333,210.5,0,406.666666666667,248,0,92,719.5,0,1357.66666666667,18,0,1445.33333333333,567.333333333333,202,1732.66666666667,4287,2119,127,19.6666666666667,0,928,285.333333333333,0,1453,3305,1259,2934,1699,1975,1557,1716,1311,3335,2705,4202,4626,2780,2444,1391,2077,1065,629,167,1233,966,883,729,680,1235,4192,3856,3915,2841,3648,3624,2827,3521,2836,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Paracalanus parvus 5d9ee140b17e218e06fffae434d6dad14ebb91db",712.666666666667,0,0,198,0,0,515.666666666667,70.3333333333333,0,0,0,101.666666666667,0,0,375.666666666667,0,0,245.666666666667,0,2.66666666666667,161,0,0,260.666666666667,0,0,136,0,0,610,0,0,246,0,0,116.666666666667,0,0,155.333333333333,0,3.5,679.666666666667,393.5,1,0,0,0,160,0,0,19,34,22,37,28,26,0,0,0,763,462,996,1168,832,617,339,443,490,428,38,524,531,441,403,395,579,194,192,170,127,130,162,100,98,170,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 6950a504c858e51241cac98cb4b1b8cad81eff0e",170,154.666666666667,931.5,72.5,28.5,0,74,301.333333333333,31,36.6666666666667,0,75,122,0,239.666666666667,52.3333333333333,0,234.333333333333,506.333333333333,89.3333333333333,333.666666666667,613,3.5,242.333333333333,0,0,93.6666666666667,136,0,232,309.666666666667,283.333333333333,0,66,0,13,0,0,279.333333333333,18.6666666666667,142.5,58.3333333333333,268.5,153.666666666667,89,0,0,91.3333333333333,0,0,47,49,35,57,34,46,24,39,0,414,454,444,592,340,314,221,328,461,318,0,547,505,454,395,383,552,181,151,146,119,149,141,101,98,128,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica 6b976e008f3c98aa86cb64aa686cbfcb409c8f0a",1001.66666666667,540.333333333333,444,592.5,123.5,0,738,990,0,43.6666666666667,0,240,175.333333333333,0,727.666666666667,30.3333333333333,0,1764.33333333333,1322.66666666667,15,1117.66666666667,390,0,288.333333333333,358,0,430.666666666667,218.5,0,1292.66666666667,688.333333333333,0,1347,419.5,0,587.333333333333,0,0,1156,121,51.5,932,1732,1240.66666666667,0,0,0,792,60.3333333333333,0,548,1309,518,931,569,771,368,406,242,2443,2000,2808,3648,2214,1831,936,1484,2152,1040,0,2758,2435,2141,1414,1174,2363,1971,1755,1621,1310,1748,1567,1031,1265,1213,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Calanus helgolandicus 6db8cc221939cdc8c55a0191ffe9bdeca0679b0e",18.3333333333333,0,206.5,0,33.5,0,0,60,0,59.3333333333333,0,0,0,0,0,0,0,6.66666666666667,56,0,0,0.333333333333333,0,0,0,0,0,5.5,0,2,10,0,0,0,0,0,42.3333333333333,0,53.3333333333333,90.6666666666667,122,0,95.5,37.3333333333333,784,0,375,0,0,86.3333333333333,122,163,0,222,146,106,124,93,103,45,63,77,67,49,41,21,18,0,0,0,0,0,0,10,0,19,196,157,150,111,169,166,111,108,110,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Calanus helgolandicus 6e6b2ae850506cc0ea7baa4492214e7987501560",2532.33333333333,303,788,365.5,1465,45.5,831,1895.66666666667,84.6666666666667,1107.66666666667,1395.5,0,0,0,72.6666666666667,0,3,871,1184,542.666666666667,54,3.33333333333333,0,0,0,20,143.666666666667,269,0,465,177.333333333333,2.66666666666667,300,1614.5,0,2208,1329,1416.66666666667,1751.33333333333,5017.66666666667,464.5,3348.33333333333,5059,2958.33333333333,1432,3312.33333333333,7805.33333333333,699,1777.66666666667,3524.33333333333,8193,18556,7443,16927,9673,10506,8444,9549,6586,4578,3978,5752,5916,3330,2392,914,1422,1421,922,545,1620,1349,1192,404,446,915,13679,12347,11543,8478,10404,10097,6754,7928,6465,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 74f9bdd8535b4c6fc6cb14fdc86019d1de069cb0",9.33333333333333,2,1962.5,0,33.5,0,0,72.6666666666667,23738.6666666667,7.66666666666667,932,0,0,0,21,6,0,0,48,0,0,139.333333333333,60,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14.3333333333333,7,13.3333333333333,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,485,459,627,601,378,146,0,51,52,62,0,0,42,0,0,0,0,243,0,0,60,0,0,0,0,0,"Animalia","Subphylum","Hydroidolina","Superorder"
"Neocalanus cristatus 7761526519fda29c5c9ac6663b370054e80b7263",21,0,0,8,18.5,0,4.66666666666667,11,0,4.33333333333333,0,0,32,0,5,3.33333333333333,0,106,47,0.666666666666667,35.6666666666667,95,8,237,46,0,141.333333333333,18,0,275,16.6666666666667,0,58.6666666666667,372.5,0,0,148.333333333333,0,15.6666666666667,38,0,10.3333333333333,55,57.6666666666667,0,47,0,5.66666666666667,26.3333333333333,0,143,325,163,194,120,157,80,66,39,123,91,169,88,63,36,0,0,1037,742,526,522,418,327,77,115,127,537,443,387,176,217,221,110,103,120,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Calanus helgolandicus 78f54f41acba54d14189a57d673d19a7e9c4b936",429.333333333333,45.3333333333333,77.5,92,431.5,9.5,179,397,0,155,0,0,0,0,5,0,0,77,280,74.3333333333333,3.33333333333333,0,0,0,1,0,4.66666666666667,26.5,0,73.6666666666667,25.3333333333333,0,0.333333333333333,229.5,0,655.666666666667,73,0,211,962,56.5,469.333333333333,1523,708.666666666667,102.5,32,0,137,534,16.3333333333333,1870,4239,1529,4251,2564,2618,2423,2679,1952,675,571,860,1010,559,467,290,496,95,74,9,157,137,102,84,73,143,2732,2627,2555,2086,2494,2604,2021,2353,1920,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Pleuromamma borealis 7ed69f089c6a810c9434950899ffa09ad91e3f6d",14,9,0,0,13.5,0,0,19.6666666666667,0,0,0,243.333333333333,286.666666666667,0,174,15.3333333333333,0,59.3333333333333,16.6666666666667,0,193.333333333333,44,0,0,0,0,91,16,0,3,0,0,0,23.5,0,0,0,0,35.3333333333333,14,0,52,44,27.6666666666667,0,0,0,123,7.66666666666667,0,103,226,140,49,60,80,12,17,8,132,122,166,97,36,16,0,0,178,98,59,100,75,73,3,8,15,256,193,147,40,48,45,10,7,17,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Ctenocalanus vanus 7f93c2356b7a75855bf23901a4a4946a09c74ed6",53.6666666666667,0,0,20.5,0,0,23.3333333333333,76.6666666666667,0,0,3.5,291.666666666667,0,0,641.333333333333,0,0,195,0,0,422.333333333333,0,6,707.333333333333,40,0,163,0,3.66666666666667,781.333333333333,0,0,610.333333333333,0,0,13.6666666666667,0,0,23.6666666666667,0,0,97.6666666666667,22.5,0,4.5,0,0,69,0.333333333333333,0,17,46,0,24,7,27,0,0,0,218,202,318,246,126,58,70,0,975,517,171,882,704,663,291,297,479,197,186,136,61,73,82,42,0,48,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 856adbbd6780d096aa923a18481a9884b70edf25",20.3333333333333,0,0,0,0,7,0,0,0,0,813,19.3333333333333,5.66666666666667,0,136.666666666667,10,27.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.666666666667,56,0,0,0,100.666666666667,746,17.6666666666667,26.5,36.3333333333333,14,16,0,0,4701,0,0,22.3333333333333,113,173,111,0,69,79,0,0,0,57,62,0,83,0,0,0,0,0,65,100,94,0,45,0,0,0,123,0,88,0,0,59,0,0,0,"Animalia","Tunicata","Subclass","Superorder"
"Calanus helgolandicus 894f73dc6883f29a838304fd218efdfaf12bd154",42,0,110,0,205.5,139.5,0,85.6666666666667,10,0,0,0,0,0,12.6666666666667,0,0,0,0,526.666666666667,1.66666666666667,0.333333333333333,0,0,0,0,0,21.5,0,0,0,1.33333333333333,0,166.5,0,0,0,0,0,107,208,51.6666666666667,176,76.3333333333333,639.5,0,0,26.3333333333333,170.333333333333,0,498,1117,385,911,528,523,512,542,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,495,403,304,369,388,267,324,246,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Paracalanus parvus 961cd5ce154310c7fd54468560aca8d35041c8c7",2276.66666666667,0,0,168,0,0,1030.33333333333,70.3333333333333,0,0,17.5,336.333333333333,0,0,1197,0,0,452,0,14.3333333333333,242.333333333333,0,15,533,0,0,677,5.5,0,1032.33333333333,0,0,1972.66666666667,0,0,178.666666666667,0.666666666666667,0,232.666666666667,0,6,3227.66666666667,375,0,35.5,0,0,222.333333333333,0,0,242,456,248,150,0,167,0,60,0,2698,2165,3318,2584,1526,964,360,316,2077,1607,704,1623,1199,1002,180,368,499,1558,1275,963,365,442,416,111,141,216,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica 97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",300,166,659.5,102,50.5,0,173.666666666667,703.333333333333,43.3333333333333,55.3333333333333,14.5,429.333333333333,171,0,1283.66666666667,122,0,1092,633.333333333333,19,1652,473,0,574,0,0,541.333333333333,244.5,0,1881.66666666667,503,116.666666666667,1517.66666666667,158,0,121,0,0,486.666666666667,18,59.5,162,473,273.666666666667,15,0,0,563.333333333333,7.66666666666667,0,96,127,63,123,79,85,77,73,40,865,726,1091,1177,688,692,360,561,2044,1031,166,2607,2212,2041,1590,1336,2524,359,333,318,241,305,326,353,313,265,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 9a70de23c085314e6ab43e55dcb56fce70587663",6,0,64,0,18.5,0,0,27.3333333333333,439,12.3333333333333,416.5,8.33333333333333,0,0,13.6666666666667,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,23.3333333333333,5,10.6666666666667,0,5.33333333333333,0,0,0,6.33333333333333,0,0,0,0,0,0,0,0,0,121,126,220,174,131,55,0,0,27,0,0,0,23,0,0,0,0,271,0,0,84,0,0,44,47,0,"Animalia","Subphylum","Hydroidolina","Superorder"
" 9b9f6e13b644886afad8864d6601b2000dae17a0",46,0,23,0,10,23,1,24,7.66666666666667,0,431,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,2.33333333333333,7,0,0.666666666666667,0,0,0,0,0.333333333333333,13,0.666666666666667,3.33333333333333,24.6666666666667,0,0,82.5,0,34,119.333333333333,111,51.6666666666667,39.3333333333333,27.5,10.6666666666667,186,112.333333333333,218.5,13.3333333333333,566.333333333333,2,15,95,118,257,129,224,132,145,94,95,57,14,17,32,27,14,18,8,0,15,10,28,14,11,8,6,5,7,123,100,87,61,82,83,62,49,81,"Animalia","Crustacea","Copepoda","Gymnoplea"
" a19023e2938b2d4c19d5e2b8c4962e8bcd73177d",33.6666666666667,6.33333333333333,1123,2.5,0,19.5,0,66.3333333333333,16.6666666666667,9,0,0,70.3333333333333,0,60.6666666666667,52.6666666666667,0,84.6666666666667,107.333333333333,79,59.3333333333333,517.333333333333,95.5,84,0,0,0,37.5,0,24.6666666666667,39,426,10.6666666666667,26,0,0,0,0,121,31.6666666666667,282.5,16.3333333333333,61,42.3333333333333,1496,0,157.333333333333,0,2.33333333333333,28.3333333333333,89,166,126,0,0,0,0,0,0,293,276,345,199,111,58,0,0,426,291,176,272,250,186,0,18,44,328,263,212,73,89,0,0,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
" a32d276e30f76e771318e8c516046bc05f72db69",136.333333333333,106.666666666667,588,0,86,26,0,343.666666666667,172,0,0,1504.33333333333,217,0,1217.66666666667,211.333333333333,0,207.666666666667,331.333333333333,215.666666666667,1263.33333333333,2819.66666666667,28,3603.66666666667,260,0,335.666666666667,216,0,396.333333333333,158.333333333333,684,236.666666666667,918.5,0,67.3333333333333,0,0,157.666666666667,0,73.5,25.6666666666667,130.5,142,99.5,0,0,39,0,0,0,55,26,43,0,35,0,0,0,366,284,408,505,239,222,151,158,857,450,123,1041,798,741,363,398,746,287,208,194,122,140,168,73,100,139,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",12848,29433.3333333333,4299.5,11498.5,1059.5,19,16583.3333333333,11819.6666666667,59.3333333333333,320.333333333333,167,2678,1887.66666666667,0,6599.66666666667,228.666666666667,0,53972.3333333333,24553.3333333333,298.666666666667,15969.3333333333,9488.33333333333,187,3335.66666666667,3751,14,14632.3333333333,3568,16.3333333333333,13005.3333333333,11078.6666666667,532,13821.3333333333,6928.5,0,4835,13.3333333333333,0,32232,664.333333333333,768.5,16838,24940.5,17408,47.5,6.66666666666667,0,15003.6666666667,284.333333333333,0,5818,12727,5924,5576,3307,5792,1613,1913,1006,59765,48846,70217,66250,34323,30243,13661,21395,58325,28122,12253,55843,44257,41064,20579,19221,41159,29592,24827,21245,11104,13597,13425,7261,8752,7702,"Animalia","Crustacea","Copepoda","Gymnoplea"
" b308f1ff1c8a4490fc47c87f05295b7e5a4a6610",43,5,54,0,0,0,0,192,0,0,0,57,17,0,68,0,0,0,52,197,32,132,0,271,0,0,30,0,0,85,16,0,0,0,0,29,0,0,15,0,0,0,0,29,0,0,0,0,0,0,0,70,30,81,0,46,0,0,0,64,75,94,123,46,26,32,28,97,59,12,145,128,95,45,61,81,206,141,147,106,109,109,71,77,72,"Animalia","Crustacea","Copepoda","Gymnoplea"
" b39500169f19f6f7dc74cde23a266fe3bd9d8079",69.6666666666667,29.6666666666667,19,50,35.5,1.5,6,68.6666666666667,85.3333333333333,0,17,0,0,0,9.33333333333333,0,0,47.6666666666667,110,4.66666666666667,1.33333333333333,0,0,0,0,0,3,0,0,59,147.666666666667,4.66666666666667,0,0,0,21,0,0,50.6666666666667,6.33333333333333,0,37.6666666666667,283.5,197,29.5,0,0,77,8,0,41,87,39,80,41,49,48,37,27,230,193,257,282,181,199,89,154,96,56,32,118,95,102,73,56,128,134,108,123,89,115,110,76,78,76,"Animalia","Crustacea","Copepoda","Gymnoplea"
" bb43537ab7d266d059e40deb9e1f8536790adc35",209.666666666667,50.3333333333333,2330,19,33.5,0,56.3333333333333,368,381.666666666667,109,32.5,177.666666666667,172.666666666667,63,436.333333333333,329,0,197.666666666667,340.333333333333,322.666666666667,424.333333333333,921,32,476.333333333333,0,0,301.333333333333,266.5,43.6666666666667,314.666666666667,179,889,53.6666666666667,199.5,0,0,1.33333333333333,0,207.333333333333,71,255,114.333333333333,224.5,128,1013.5,52.3333333333333,129,70,4.33333333333333,51,115,193,135,123,87,90,30,51,0,568,500,619,522,385,280,104,108,770,577,271,763,550,585,253,309,486,470,368,333,207,216,209,85,98,114,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica bd47ade374a1d1bb53455acb57695af761642b75",133,318.333333333333,33.5,60,0,0,243,137.666666666667,0,0,0,21,0,0,129.666666666667,0,0,498.333333333333,368.666666666667,0,282.666666666667,143.333333333333,0,58.3333333333333,80,0,358.333333333333,0,0,189.666666666667,120.666666666667,0,203.666666666667,63.5,0,0,0,0,458.666666666667,0,0,165.666666666667,381.5,88,0,0,0,201.333333333333,0,0,0,0,0,0,0,0,0,0,0,407,465,661,619,328,282,0,380,587,328,0,642,530,407,355,390,664,238,233,0,0,138,0,0,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
" bf87a932b56f5ea063f60d58296ef8446602c4ad",0,58,116,0,0,0,0,380,0,0,0,431,83,0,615,0,0,172,334,0,680,862,0,459,0,0,223,0,0,341,144,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,161,212,234,120,109,0,120,410,211,0,435,379,417,400,264,416,0,0,0,0,0,0,0,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica c106e1cd25bef13848fb5696229c97e7ec724fc1",44,202,124,0,0,0,57,455,0,0,0,256,194,0,654,0,0,215,294,67,567,554,0,249,0,0,174,0,0,245,123,0,0,0,0,0,0,0,94,0,0,46,0,77,0,0,0,177,0,0,21,0,0,45,0,0,0,20,0,206,86,201,229,130,103,62,127,235,118,0,284,239,248,158,147,303,57,87,90,61,70,91,48,85,49,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Clausocalanus furcatus c40ce5c9da5927cd51e1e3df99e36cc3984796e8",61,0,0,0,0,0,30.3333333333333,184.333333333333,0,0,0,1157.33333333333,285.666666666667,0,1892.66666666667,105.666666666667,0,193,0,137.333333333333,1895,16,125.5,663.333333333333,0,0,644,0,0,275.333333333333,0,26.3333333333333,10114.6666666667,48.5,0,0,0,1,88.3333333333333,0,0,0,0,0,100.5,11,0,360.333333333333,0,0,0,85,0,44,0,0,0,0,0,257,246,386,260,0,0,0,0,1091,714,237,1018,785,704,0,0,629,253,226,161,0,133,0,50,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
" c621ead91f54c394ee29a0669ebe477d85be4b7d",704.333333333333,0,0,340,0,0,733.333333333333,105,0,0,0,72.3333333333333,0,0,352.333333333333,0,0,326.333333333333,0,0,223.333333333333,0,0,198.333333333333,0,0,153.666666666667,0,0,502.666666666667,0,0,234.666666666667,0,0,78,0,0,219.333333333333,0,0,637,400.5,0,0,0,0,307,0,0,0,0,0,0,22,0,0,0,0,982,851,1214,1364,1004,779,472,696,661,355,45,786,887,589,492,412,768,0,0,262,98,167,160,0,172,166,"Animalia","Crustacea","Copepoda","Gymnoplea"
" cb7758e8f39b2aeb6e8fc6931a0f1bfd99f5dd32",0,7.33333333333333,0,0,0,0,0,12.3333333333333,0,0,0,0,6.66666666666667,0,51.3333333333333,11,0,11,51.6666666666667,0,5.33333333333333,25.6666666666667,0,5,0,0,31,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,35,10.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,30,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
" cba418bc94dc3a64e15200ce11bda8c6e0582205",0,0,0,0,0,0,0,0,0,0,0,11.3333333333333,16.6666666666667,0,125,52.6666666666667,0,21.3333333333333,18.3333333333333,0,6,56.3333333333333,0,16,0,0,75.6666666666667,9,0,7.33333333333333,0,0,0,57.5,0,0,0.666666666666667,0,0,0,0,0,22.5,8.66666666666667,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,33,0,38,26,0,0,0,0,62,34,0,50,42,32,0,17,44,30,20,18,0,0,0,0,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Neocalanus gracilis dabec5c8e3721be348236817cddd3c31eb1647ce",0,0,0,0,0,0,0,0,0,0,0,1134.66666666667,571.333333333333,0,89.3333333333333,2905.66666666667,30,89,28,0,13.3333333333333,0,16.5,0,5406,30443,203.666666666667,151.5,0,94.3333333333333,0,0,118.666666666667,594.5,17.6666666666667,0,0,0,0,0,0,0,0,0,274.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,110,144,110,93,51,0,0,330,197,103,280,224,176,55,108,98,126,97,88,39,60,0,0,0,41,"Animalia","Crustacea","Copepoda","Gymnoplea"
" e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc",47.6666666666667,0,31.5,2,14.5,15,4,27.6666666666667,0,2.66666666666667,576,0,3.66666666666667,0,2.33333333333333,7,0.666666666666667,0,1,11.6666666666667,0,8.66666666666667,0.5,0,6,0,0.666666666666667,20,2,10,42.6666666666667,0,0,92.5,0,42.6666666666667,299.666666666667,224.333333333333,63,88,25.5,11.6666666666667,189.5,140.333333333333,228,36.6666666666667,1031.66666666667,0,22.6666666666667,169.333333333333,229,498,260,410,218,259,214,231,127,28,16,31,29,13,26,0,0,41,19,26,37,27,24,13,13,31,218,155,155,104,168,144,85,96,128,"Animalia","Crustacea","Copepoda","Gymnoplea"
"NA e09b485dd4d1bd133e7845d395237f38d661eb69",0,0,0,0,0,0,0,0,0,0,0,0,4.33333333333333,282,0,0,34379,99,397.666666666667,46748.6666666667,0,20,159,0,228,780,14984,913,50459,0,0,26505.6666666667,53,138.5,29.3333333333333,0,6283.66666666667,4.33333333333333,6,0,0,0,0,0,0,0,0,0,0,0,5413,9729,6022,6521,4358,5893,1293,1774,719,0,0,0,0,59,0,0,0,49400,22872,5436,56864,57369,37826,30340,17397,36095,14919,12507,9252,4325,4936,5908,2399,2741,5695,NA,NA,NA,NA
"Metridia pacifica e199318c40876066960330bd9ea208fb7639a760",829,165.666666666667,184,215.5,603,0,364.333333333333,772.333333333333,0,200.333333333333,39.5,0,14.6666666666667,0,16,4.66666666666667,0,340,652,33,52,44.3333333333333,0,118.666666666667,51,0,55.6666666666667,122.5,0,443.333333333333,141,0,36,575,0,978.333333333333,128.333333333333,0,522.333333333333,1124.66666666667,102.5,949.333333333333,2500,1230,24,94.6666666666667,36.3333333333333,352.666666666667,617,0,2616,5926,2292,5051,3260,3773,2778,3334,2079,1500,1164,1819,1983,1065,987,513,807,683,386,129,665,529,543,342,332,641,4324,3835,3851,2978,3691,3589,2774,3295,2768,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Neocalanus cristatus e396f514beb6bb0e29a828575cc7fea775d24085",41,0,0,17.5,12,0,11.3333333333333,40.3333333333333,0,2.33333333333333,0,0,68.3333333333333,0,29.6666666666667,29.6666666666667,0,181.666666666667,79.3333333333333,2,100.333333333333,194.666666666667,0,593.333333333333,170,0,121,32,0,804,56,0,79.6666666666667,368,0,0,7.33333333333333,0,13.6666666666667,9,0,15.6666666666667,73.5,71.6666666666667,0,10,0,14.3333333333333,6.33333333333333,0,59,88,55,72,53,55,38,40,33,108,96,149,164,108,65,0,0,954,606,191,1038,723,700,222,307,531,259,217,217,152,154,141,100,103,126,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica f0f0d90e0b068596c08719d08b82987032ec3857",90,0,77,0,0,0,0,403,9,67,0,0,0,0,149,0,0,0,169,16,82,0,0,65,0,0,0,0,0,575,0,0,0,0,0,96,0,0,77,0,0,0,0,75,0,0,0,111,0,0,80,190,85,185,119,145,116,119,67,153,141,172,238,130,106,0,131,259,136,0,336,234,244,166,180,334,248,256,260,216,229,252,258,226,188,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Neocalanus gracilis f439140f389fcafab48955b2d982492c4de5820f",0,0,0,0,0,0,0,0,0,0,0,345,318,0,32.6666666666667,367.333333333333,0,66.6666666666667,51.6666666666667,0,13.3333333333333,0,1.5,0,1110,29,61.3333333333333,75.5,0,75.3333333333333,0,0,10.3333333333333,220.5,0,0,0,0,0,0,0,0,0,3.66666666666667,11,0,0,6.33333333333333,0,0,0,0,0,4,0,0,0,0,0,63,34,72,94,83,63,55,37,152,92,0,119,143,115,102,140,164,30,0,16,0,25,27,0,0,20,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Clausocalanus furcatus f8a30baa160074c5d81f39bbfa5ce59111caa57a",69.6666666666667,0,0,86.5,0,0,121.333333333333,191,0,0,0,338,99.6666666666667,0,959.666666666667,22,0,636.666666666667,13,0,970.666666666667,9,1,647.666666666667,63,0,401.666666666667,57,0,1500,17,0,266.333333333333,59.5,0,90.6666666666667,0,0,254.333333333333,0,0,48.6666666666667,39.5,0,0,0,0,162.333333333333,0,0,0,0,0,0,0,0,0,0,0,365,286,201,395,177,212,166,254,1362,854,99,1641,1234,1323,822,825,1637,170,205,211,165,155,199,128,87,110,"Animalia","Crustacea","Copepoda","Gymnoplea"
" fa7356df1a872486053eb1a14ff614012cdadde9",11.6666666666667,10,241,0,15,437,0,55,141.333333333333,0,0,1068,250.666666666667,789,576.666666666667,73.3333333333333,0,60.6666666666667,42.6666666666667,777.333333333333,355.666666666667,2319.66666666667,605.5,3038.66666666667,59,0,186,65.5,0,52.3333333333333,11.6666666666667,807.333333333333,85.6666666666667,572.5,0,0,0,0,26.3333333333333,0,83,7.33333333333333,19,30.3333333333333,245.5,0,0,7.33333333333333,0,5.66666666666667,0,61,40,25,0,21,0,0,0,218,174,237,117,40,33,0,4,627,357,273,351,279,255,19,38,91,218,207,156,61,38,49,11,7,15,"Animalia","Crustacea","Copepoda","Gymnoplea"
