,Sample_name,cycle_num,Pool,sample_id,sample_num
61,CT1.T6.H33_S3.1,30,1,CT1.T6.H33_S3,CT1.T6.H33_S3
62,CT1.T6.H33_S3.2,30,2,CT1.T6.H33_S3,CT1.T6.H33_S3
63,CT1.T7.H34_S1.1,30,1,CT1.T7.H34_S1,CT1.T7.H34_S1
64,CT1.T7.H34_S1.2,30,2,CT1.T7.H34_S1,CT1.T7.H34_S1
65,CT1.T7.H34_S2.1,30,1,CT1.T7.H34_S2,CT1.T7.H34_S2
66,CT1.T7.H34_S2.2,30,2,CT1.T7.H34_S2,CT1.T7.H34_S2
67,CT1.T7.H34_S3.1,30,1,CT1.T7.H34_S3,CT1.T7.H34_S3
68,CT1.T7.H34_S3.2,30,2,CT1.T7.H34_S3,CT1.T7.H34_S3
69,CT1.T8.H35_S1.1,30,1,CT1.T8.H35_S1,CT1.T8.H35_S1
70,CT1.T8.H35_S1.2,30,2,CT1.T8.H35_S1,CT1.T8.H35_S1
71,CT1.T8.H35_S2.1,30,1,CT1.T8.H35_S2,CT1.T8.H35_S2
72,CT1.T8.H35_S2.2,30,2,CT1.T8.H35_S2,CT1.T8.H35_S2
73,CT1.T8.H35_S3.1,30,1,CT1.T8.H35_S3,CT1.T8.H35_S3
74,CT1.T8.H35_S3.2,30,2,CT1.T8.H35_S3,CT1.T8.H35_S3
75,CT2.T1.H36_S1.1,30,1,CT2.T1.H36_S1,CT2.T1.H36_S1
76,CT2.T1.H36_S1.2,30,2,CT2.T1.H36_S1,CT2.T1.H36_S1
77,CT2.T1.H36_S2.1,30,1,CT2.T1.H36_S2,CT2.T1.H36_S2
78,CT2.T1.H36_S2.2,30,2,CT2.T1.H36_S2,CT2.T1.H36_S2
79,CT2.T1.H36_S3.1,30,1,CT2.T1.H36_S3,CT2.T1.H36_S3
80,CT2.T1.H36_S3.2,30,2,CT2.T1.H36_S3,CT2.T1.H36_S3
81,CT2.T4.H39_S1.1,30,1,CT2.T4.H39_S1,CT2.T4.H39_S1
82,CT2.T4.H39_S1.2,30,2,CT2.T4.H39_S1,CT2.T4.H39_S1
83,CT2.T4.H39_S2.1,30,1,CT2.T4.H39_S2,CT2.T4.H39_S2
84,CT2.T4.H39_S2.2,30,2,CT2.T4.H39_S2,CT2.T4.H39_S2
85,CT2.T4.H39_S3.1,30,1,CT2.T4.H39_S3,CT2.T4.H39_S3
