,C1.T7.H9_S1.1,C1.T7.H9_S1.2,C1.T7.H9_S2.1,C1.T7.H9_S2.2,C1.T7.H9_S3.2,C1.T8.H10_S1.2,C1.T8.H10_S2.1,C1.T8.H10_S2.2,C1.T8.H10_S3.2,C2.T8.H18_S1.1,C2.T8.H18_S1.2,C2.T8.H18_S2.1,C2.T8.H18_S2.2,C2.T8.H18_S3.1,C2.T8.H18_S3.2,C2.T9.H19_S2.1,C2.T9.H19_S2.2,C2.T9.H19_S3.2,C3.T6.H25_S1.1,C3.T6.H25_S1.2,C3.T6.H25_S2.1,C3.T6.H25_S2.2,C3.T6.H25_S3.1,C3.T7.H26_S1.1,C3.T7.H26_S1.2,C3.T7.H26_S2.1,C3.T7.H26_S2.2,C3.T7.H26_S3.1,C3.T7.H26_S3.2,CT1.T1.H28_S1.1,CT1.T1.H28_S1.2,CT1.T1.H28_S2.1,CT1.T1.H28_S2.2,CT1.T1.H28_S3.1,CT1.T1.H28_S3.2,CT1.T2.H29_S1.1,CT1.T2.H29_S1.2,CT1.T2.H29_S2.1,CT1.T2.H29_S2.2,CT1.T2.H29_S3.1,CT1.T2.H29_S3.2,CT1.T3.H30_S1.1,CT1.T3.H30_S1.2,CT1.T3.H30_S2.1,CT1.T3.H30_S3.2,CT1.T4.H31_S1.1,CT1.T4.H31_S1.2,CT1.T4.H31_S2.2,CT1.T4.H31_S3.1,CT1.T4.H31_S3.2,CT1.T5.H32_S1.1,CT1.T5.H32_S1.2,CT1.T5.H32_S2.1,CT1.T5.H32_S2.2,CT1.T5.H32_S3.1,CT1.T5.H32_S3.2,CT1.T6.H33_S1.1,CT1.T6.H33_S1.2,CT1.T6.H33_S2.1,CT1.T6.H33_S2.2,CT1.T6.H33_S3.1,CT1.T6.H33_S3.2,CT1.T7.H34_S1.1,CT1.T7.H34_S1.2,CT1.T7.H34_S2.1,CT1.T7.H34_S2.2,CT1.T7.H34_S3.1,CT1.T7.H34_S3.2,CT1.T8.H35_S1.1,CT1.T8.H35_S1.2,CT1.T8.H35_S2.1,CT1.T8.H35_S2.2,CT1.T8.H35_S3.1,CT1.T8.H35_S3.2,CT2.T1.H36_S1.1,CT2.T1.H36_S1.2,CT2.T1.H36_S2.1,CT2.T1.H36_S2.2,CT2.T1.H36_S3.1,CT2.T1.H36_S3.2,CT2.T4.H39_S1.1,CT2.T4.H39_S1.2,CT2.T4.H39_S2.1,CT2.T4.H39_S2.2,CT2.T4.H39_S3.1,CT2.T4.H39_S3.2,CT2.T8.H43_S1.1,CT2.T8.H43_S1.2,CT2.T8.H43_S2.1,CT2.T8.H43_S2.2,CT2.T8.H43_S3.1,CT2.T8.H43_S3.2,20C_AllPool.1,20C_AllPool.2,20C_AllPool.3,20C_Pooled.A1.A3.1,20C_Pooled.A1.A3.2,20C_Pooled.A1.A3.3,20C_Pooled.B3.B5.1,20C_Pooled.B3.B5.2,20C_Pooled.B3.B5.3,20C_Pooled.C5.C7.1,20C_Pooled.C5.C7.2,20C_Pooled.C5.C7.3,24C_AllPool.1,24C_AllPool.2,24C_AllPool.3,24C_Pooled.A1.A3.1,24C_Pooled.A1.A3.2,24C_Pooled.A1.A3.3,24C_Pooled.B3.B5.1,24C_Pooled.B3.B5.2,24C_Pooled.B3.B5.3,24C_Pooled.C5.C7.1,24C_Pooled.C5.C7.2,24C_Pooled.C5.C7.3,28C_AllPool.1,28C_AllPool.2,28C_AllPool.3,28C_Pooled.A1.A3.1,28C_Pooled.A1.A3.2,28C_Pooled.B3.B5.1,28C_Pooled.B3.B5.2,28C_Pooled.B3.B5.3,28C_Pooled.C5.C7.1,28C_Pooled.C5.C7.2,28C_Pooled.C5.C7.3,C1.T7.H9_S1.3,C1.T7.H9_S2.3,C1.T7.H9_S3.3,C1.T8.H10_S1.3,C1.T8.H10_S3.3,C2.T8.H18_S1.3,C2.T8.H18_S2.3,C2.T8.H18_S3.3,C2.T9.H19_S2.3,C2.T9.H19_S3.3,C3.T6.H25_S1.3,C3.T6.H25_S2.3,C3.T7.H26_S1.3,C3.T7.H26_S2.3,C3.T7.H26_S3.3,CT1.T1.H28_S1.3,CT1.T1.H28_S2.3,CT1.T1.H28_S3.3,CT1.T2.H29_S1.3,CT1.T2.H29_S2.3,CT1.T3.H30_S1.3,CT1.T4.H31_S1.3,CT1.T4.H31_S2.3,CT1.T4.H31_S3.3,CT1.T5.H32_S1.3,CT1.T5.H32_S2.3,CT1.T5.H32_S3.3,CT1.T6.H33_S1.3,CT1.T6.H33_S3.3,CT1.T7.H34_S1.3,CT1.T7.H34_S2.3,CT1.T7.H34_S3.3,CT1.T8.H35_S1.3,CT1.T8.H35_S2.4,CT2.T1.H36_S1.3,CT2.T1.H36_S3.3,CT2.T4.H39_S2.3,CT2.T4.H39_S3.3,CT2.T8.H43_S1.3,CT2.T8.H43_S2.3,CT2.T8.H43_S3.3
Calanus helgolandicus 78f54f41acba54d14189a57d673d19a7e9c4b936,18,811,6,88,111,115,45,818,19,8,159,124,564,0,0,16,220,0,0,0,0,0,0,0,0,0,0,0,0,5,155,178,338,30,58,2,1,0,0,0,0,0,0,1,0,0,0,53,0,0,27,80,10,27,0,0,0,1,23,436,0,0,74,830,75,144,0,0,159,231,54,1799,0,113,21,1199,1797,1249,62,1566,0,205,0,96,0,0,120,160,99,1503,0,49,2732,2627,2555,675,571,860,95,74,9,1870,4239,1529,2086,2494,2604,1010,559,467,157,137,102,4251,2564,2618,2021,2353,1920,290,496,84,73,143,2423,2679,1952,459,42,44,69,0,370,503,0,229,0,0,0,15,0,0,71,324,135,7,0,0,14,0,0,114,39,0,0,0,1063,0,0,243,1033,188,498,0,0,131,0,0
Paracalanus parvus 961cd5ce154310c7fd54468560aca8d35041c8c7,62,4060,0,0,0,267,0,0,0,360,1000,0,0,0,0,0,0,35,128,780,0,0,0,1323,1563,0,0,0,0,85,1238,0,0,0,0,161,475,0,0,0,30,825,674,0,0,71,71,11,0,0,348,1741,0,0,0,0,927,3675,0,0,0,0,216,182,0,2,0,0,89,566,0,0,0,12,525,8755,295,455,0,0,14,57,0,0,0,0,184,434,0,0,0,0,1558,1275,963,2698,2165,3318,2077,1607,704,242,456,248,365,442,416,2584,1526,964,1623,1199,1002,150,0,167,111,141,216,360,316,180,368,499,0,60,0,2708,0,0,69,0,1731,211,0,0,0,101,0,705,0,0,33,0,43,91,0,100,1889,0,0,1008,0,0,1316,0,138,0,0,43,0,403,0,0,0,49,0,0
Metridia pacifica 97d5948bd4b4362b9bfcff8f47c1af49259ea0d2,0,623,0,357,902,204,0,101,0,0,189,83,328,0,30,0,75,29,64,633,41,247,0,444,1623,135,231,0,0,157,1910,392,660,0,0,1360,1671,326,451,0,0,740,648,0,0,96,242,489,0,0,709,1989,351,672,122,171,178,1716,0,316,0,0,0,158,0,0,0,0,372,608,0,54,0,119,0,415,544,402,0,646,0,30,0,0,0,0,503,566,0,23,0,0,359,333,318,865,726,1091,2044,1031,166,96,127,63,241,305,326,1177,688,692,2607,2212,2041,123,79,85,353,313,265,360,561,1590,1336,2524,77,73,40,277,141,417,0,0,332,1699,100,91,0,591,225,1784,0,0,1209,848,57,1925,642,334,1286,0,0,2947,486,57,2659,0,205,0,0,480,0,71,175,0,0,621,0,0
Calanus 9b9f6e13b644886afad8864d6601b2000dae17a0,0,93,0,0,37,0,0,20,46,0,3,7,28,1,6,0,0,380,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,1,5,0,0,0,2,0,0,0,0,0,0,0,0,26,0,2,1,7,19,33,0,0,0,0,27,138,0,0,35,37,75,250,80,253,0,13,0,118,6,49,0,32,181,191,16,305,59,378,12,28,155,1275,0,6,11,34,44,176,123,100,87,14,17,32,15,10,28,118,257,129,61,82,83,27,14,18,14,11,8,224,132,145,62,49,81,8,0,6,5,7,94,95,57,45,0,9,0,0,0,37,16,0,482,0,0,1,0,0,0,0,15,0,0,0,1,0,0,2,22,0,0,0,30,33,0,142,0,0,16,0,269,0,0,65
 a19023e2938b2d4c19d5e2b8c4962e8bcd73177d,0,53,0,19,1985,5,0,0,39,0,0,44,98,0,5,27,0,0,0,0,29,159,0,86,57,36,122,0,0,0,254,119,203,0,50,46,107,225,1212,31,160,118,118,0,0,0,0,75,0,0,9,46,22,80,364,853,0,32,0,52,0,0,0,0,0,0,0,0,21,200,0,95,93,472,0,49,38,84,0,127,588,2404,0,0,0,472,0,0,0,7,0,85,328,263,212,293,276,345,426,291,176,89,166,126,73,89,0,199,111,58,272,250,186,0,0,0,0,0,0,0,0,0,18,44,0,0,0,48,0,261,0,0,0,57,45,0,0,0,23,39,0,0,0,0,187,25,115,16,0,0,0,19,15,61,0,0,0,0,0,142,0,0,0,0,0,0,0,0
Pleuromamma a32d276e30f76e771318e8c516046bc05f72db69,0,247,21,255,1006,0,31,141,52,0,0,96,174,0,70,0,0,0,239,3000,62,407,0,714,1777,159,475,0,0,0,623,275,479,90,159,1045,1796,1776,4112,32,24,4675,4398,260,0,146,170,432,0,0,174,582,114,273,769,1044,127,329,192,1645,0,0,28,97,0,0,0,0,137,264,0,0,15,132,0,77,127,134,21,342,0,199,0,0,0,0,0,117,0,0,0,0,287,208,194,366,284,408,857,450,123,0,55,26,122,140,168,505,239,222,1041,798,741,43,0,35,73,100,139,151,158,363,398,746,0,0,0,162,44,170,0,0,0,761,446,0,0,1274,182,1162,0,0,0,240,398,949,2571,1738,691,0,0,433,88,239,254,0,77,0,0,72,0,0,63,0,0,0,0,0
Metridia pacifica b0c15e6164ee940205efe0f1e1a0a0c19435ec9f,358,26277,2417,60429,7074,15312,292,1827,38,2943,15432,3552,12831,0,20,284,396,224,683,5513,652,3376,0,4804,6955,178,508,0,0,4844,116117,18911,30899,63,214,11868,21317,5507,15078,47,327,4525,4326,3751,14,2414,5240,6813,0,49,4824,17233,6364,17879,510,976,4897,23429,2189,11668,0,0,1745,5933,0,40,0,0,24254,51419,164,1650,232,1305,1743,45407,25186,24695,1683,43767,0,95,0,20,0,0,12423,19998,226,627,0,0,29592,24827,21245,59765,48846,70217,58325,28122,12253,5818,12727,5924,11104,13597,13425,66250,34323,30243,55843,44257,41064,5576,3307,5792,7261,8752,7702,13661,21395,20579,19221,41159,1613,1913,1006,11909,25454,1525,7685,0,31375,19076,158,281,110,1838,1635,8040,0,0,40956,23850,619,14723,7880,1156,36243,323,0,16959,8993,110,13138,0,6827,0,0,21023,179,3364,6774,0,0,12590,0,0
Rhincalanus b39500169f19f6f7dc74cde23a266fe3bd9d8079,0,144,10,79,25,61,0,71,3,0,0,0,66,0,54,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,98,82,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,65,114,229,0,14,0,0,0,0,0,0,0,22,0,0,0,0,20,47,0,19,0,0,0,84,331,236,0,479,0,59,0,0,0,0,81,102,0,24,0,0,134,108,123,230,193,257,96,56,32,41,87,39,89,115,110,282,181,199,118,95,102,80,41,49,76,78,76,89,154,73,56,128,48,37,27,65,0,13,39,0,18,140,202,0,0,0,0,28,0,0,45,107,14,4,0,0,9,0,0,88,100,0,0,0,41,0,0,85,0,29,112,0,0,48,0,0
 bb43537ab7d266d059e40deb9e1f8536790adc35,0,401,0,151,3744,38,0,67,0,18,63,117,374,40,200,62,127,65,57,329,104,259,63,267,520,247,740,0,0,70,523,346,474,142,234,383,518,491,1679,0,64,647,608,0,0,75,62,533,28,103,164,405,112,320,768,1523,15,69,87,312,0,0,0,0,0,4,0,0,129,381,0,213,0,510,18,297,203,246,26,338,198,1829,30,107,19,305,91,119,0,13,20,108,470,368,333,568,500,619,770,577,271,115,193,135,207,216,209,522,385,280,763,550,585,123,87,90,85,98,114,104,108,253,309,486,30,51,0,228,0,916,0,0,88,613,905,138,0,147,155,522,0,0,0,201,592,372,593,174,767,0,0,375,105,376,77,0,0,0,0,112,0,28,20,20,63,0,0,25
 e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc,4,101,0,0,57,4,0,29,30,2,4,5,19,0,0,0,0,411,0,0,1,10,0,0,0,0,21,0,2,0,0,0,3,15,0,0,0,11,15,0,1,0,0,6,0,0,1,40,0,6,0,15,17,74,0,0,0,0,18,167,0,0,16,60,196,615,86,482,0,15,12,200,5,46,6,29,207,172,12,372,43,413,30,47,218,2208,0,0,10,58,62,351,218,155,155,28,16,31,41,19,26,229,498,260,104,168,144,29,13,26,37,27,24,410,218,259,85,96,128,0,0,13,13,31,214,231,127,38,0,6,0,0,6,59,0,8,741,0,0,7,0,0,0,0,20,0,0,0,1,0,0,15,37,0,0,0,52,88,105,174,52,0,37,33,669,0,0,95
Metridia pacifica e199318c40876066960330bd9ea208fb7639a760,30,1815,0,412,285,313,70,1136,0,59,394,284,1082,0,0,57,280,23,0,0,0,44,0,0,0,0,14,0,0,45,773,497,898,14,23,60,96,44,89,0,0,164,165,51,0,0,25,245,0,0,150,548,76,177,0,0,0,75,107,1043,0,0,162,1299,133,252,0,0,417,672,103,2323,25,180,88,2493,2744,2256,149,2945,0,48,74,127,0,0,295,514,196,1509,0,0,4324,3835,3851,1500,1164,1819,683,386,129,2616,5926,2292,2978,3691,3589,1983,1065,987,665,529,543,5051,3260,3773,2774,3295,2768,513,807,342,332,641,2778,3334,2079,642,85,83,118,0,640,951,0,264,56,0,0,48,0,0,202,561,62,0,0,27,142,0,0,632,170,0,33,0,1474,0,0,478,948,267,596,83,109,249,146,0
Neocalanus cristatus e396f514beb6bb0e29a828575cc7fea775d24085,0,86,0,0,0,25,0,24,0,5,0,4,0,0,0,0,0,0,0,0,0,205,0,0,0,0,89,0,0,41,504,114,124,0,0,90,211,90,378,0,0,801,785,170,0,0,28,64,0,0,371,1173,24,144,0,0,27,125,139,597,0,0,0,0,9,10,0,0,0,23,0,14,0,0,2,45,75,72,0,215,0,0,8,14,0,0,18,25,2,17,0,0,259,217,217,108,96,149,954,606,191,59,88,55,152,154,141,164,108,65,1038,723,700,72,53,55,100,103,126,0,0,222,307,531,38,40,33,37,0,0,10,0,29,117,0,7,0,0,0,89,0,0,0,0,6,0,116,194,335,0,0,868,0,0,87,0,0,3,0,18,13,0,0,8,0,0,0,0
Pleuromamma fa7356df1a872486053eb1a14ff614012cdadde9,0,35,0,25,444,0,0,30,763,0,0,0,26,0,50,0,0,0,323,2405,103,474,789,650,710,33,187,0,0,0,182,42,74,293,628,275,624,1281,4365,360,851,4289,3952,59,0,0,49,131,0,0,22,100,7,21,786,1487,0,257,294,851,0,0,0,0,0,0,0,0,7,56,0,0,23,143,0,22,15,23,0,87,126,365,0,0,0,0,0,22,0,0,0,17,218,207,156,218,174,237,627,357,273,0,61,40,61,38,49,117,40,33,351,279,255,25,0,21,11,7,15,0,4,19,38,91,0,0,0,0,5,38,0,111,0,139,374,0,0,476,175,370,0,0,0,12,1411,168,1313,875,509,0,0,35,7,149,0,0,0,0,0,16,0,0,4,0,0,0,0,0
 ff62c6fc3f5f5a03af66155247b74210ad634523,5,185,0,0,147,13,0,31,28,4,15,12,32,0,124,0,0,609,0,0,0,74,0,0,0,62,208,0,4,0,10,0,13,12,0,0,0,74,140,0,0,0,0,35,0,0,7,86,0,0,0,75,174,483,54,90,0,0,24,279,0,0,15,100,8,20,14,45,0,48,10,62,11,78,6,32,400,238,25,580,51,471,7,10,72,551,0,7,9,12,9,78,189,163,183,85,64,116,184,112,35,110,221,108,97,173,104,123,78,54,190,139,190,197,110,134,88,113,121,0,0,56,84,175,89,107,72,109,0,36,0,0,22,205,512,9,1069,0,37,88,0,0,0,0,29,0,99,0,28,0,0,59,260,0,0,0,90,7,27,77,23,0,88,9,228,0,0,29
Other,39,8718,6,1257,9574,1965,23,1428,17163,243,2864,156,1099,556,17224,312,4783,13047,1808,18447,2676,15749,3518,9151,19793,6095,16333,18837,93625,293,13144,2238,2900,20632,37278,7809,12476,7340,24180,50946,97983,7978,7456,18448,35530,2294,2179,11566,41011,98327,2678,10175,1837,4403,38613,48744,14317,73079,1643,10879,2611,23519,284,1218,4382,16468,769,2952,3230,7391,44,5102,409,10877,340,12196,5783,3972,43,5479,1733,13050,874,3435,2945,36662,2822,5151,50,1695,648,6903,31122,26145,20308,15514,12730,20737,73298,34486,7136,11815,23649,12472,11137,13363,13865,21268,12333,8209,83372,80847,54623,16838,10380,13697,6644,7677,11207,3174,6842,41787,25675,55838,5183,7060,3591,8697,1471,3084,952,2655,8103,13935,64269,3749,8308,10596,9278,21005,833,2002,5840,4472,121216,12309,13172,4511,66230,100,28162,17986,2942,7506,53710,8544,2642,3197,913,8440,1324,1730,1273,2434,13525,5311,12,2956
