"","C1.T7.H9_S1","C1.T8.H10_S1","C2.T8.H18_S1","C3.T6.H25_S1","C3.T7.H26_S1","CT1.T1.H28_S1","CT1.T2.H29_S1","CT1.T3.H30_S1","CT1.T4.H31_S1","CT1.T5.H32_S1","CT1.T6.H33_S1","CT1.T7.H34_S1","CT1.T8.H35_S1","CT2.T1.H36_S1","CT2.T4.H39_S1","CT2.T8.H43_S1","C1.T7.H9_S2","C1.T8.H10_S2","C2.T8.H18_S2","C2.T9.H19_S2","C3.T6.H25_S2","C3.T7.H26_S2","CT1.T1.H28_S2","CT1.T2.H29_S2","CT1.T3.H30_S2","CT1.T4.H31_S2","CT1.T5.H32_S2","CT1.T6.H33_S2","CT1.T7.H34_S2","CT1.T8.H35_S2","CT2.T1.H36_S2","CT2.T4.H39_S2","CT2.T8.H43_S2","C1.T7.H9_S3","C1.T8.H10_S3","C2.T8.H18_S3","C2.T9.H19_S3","C3.T7.H26_S3","CT1.T1.H28_S3","CT1.T2.H29_S3","CT1.T3.H30_S3","CT1.T4.H31_S3","CT1.T5.H32_S3","CT1.T6.H33_S3","CT1.T7.H34_S3","CT1.T8.H35_S3","CT2.T1.H36_S3","CT2.T4.H39_S3","CT2.T8.H43_S3"
"0207af7746ca2e7fae8b686eb4ce729354ef27ae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020c9f56a9849cc60bbd5c971569204c6e7fa2ec",0,0,0,0,0,0,0,0,0,84,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020eec1e434540114a6810ad007975bba023eb2b",0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"023b006896972415f71fb818cada163f1694851d",0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"0260bfbe825d95aca7b54a0909f97b59dc580e78",124,45,293,325,374,104,514,0,437,0,0,0,80,71,0,346,58,0,250,21,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"02674ce12f1c4dce64c6f67782e4b588240ce808",0,0,0,0,65,0,250,19,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02847e16890ae04cae8c89e31174e41e4254c716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02a07907732e29c1a97ed0eeda0a2d5a538f3a41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,58,0,3,0,0,0,0,0,22,0,0,0,0,0,0,3,33,0,0,0,0
"02c67941cbda8568571e10cb48fb456b8d6442ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02c90074622fc4d9d4041cf51de9f4ec3476d802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0
"031ac4e0dd2ecc8f1dcecff888fa78cd7daee6cf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,97,0,0,1004,0,0,0,0,0,0,56,349,0,0,0,0
"0347345028e02fcf2469c1443f8f6ac79673d97b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03599a41dc58fa0b03c2cf20501578ca7fe0c5df",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"035ddb4bc75cc9920341d2197ee2a4f7b1991508",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"038d2e2522540ef695517184eec13a715852b745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0397af3d1c332bd3095bd0a2814f714261ed98b6",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"039b01a21f2e8e25aa65334cf9c39232ca0a6cef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"03a3f43affdfec3ad7706e4ad012eabd929a51ca",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03c0749df01070c9f884d7175b57b2edd7666a07",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03d248ca09897238d6786ac114dc38af6a40fe79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"03e589746acc470986759af852cb0dfe1a77cb11",0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
