"","C1.T7.H9","C1.T8.H10","C2.T8.H18","C2.T9.H19","C3.T6.H25","C3.T7.H26","CT1.T1.H28","CT1.T2.H29","CT1.T3.H30","CT1.T4.H31","CT1.T5.H32","CT1.T6.H33","CT1.T7.H34","CT1.T8.H35","CT2.T1.H36","CT2.T4.H39","CT2.T8.H43"
"Metridia 3a7c698a38f760bccb4381b3ff98dec1468bda94",252,147,174,0,0,17,121,121,51,0,103,0,0,310,421,0,37
" 3b46a0689c4dc296a5046eb3cfb003a0ca04e7fe",782,50,782,6,274,318,50,1216,0,208,3984,454,276,412,3148,102,36
"Pleuromamma 3b4deef68ab606924924048c116ef0c7c34ec1f4",29,0,0,0,282,0,0,10,0,0,0,0,0,0,12,0,16
"Calanus helgolandicus 50ae18a387ee0c27a601b2de29233b88891665e2",5917,5290,4477,6993,0,55,4455,96,0,902,514,3998,115171,63016,24003,146613,69106
" 5153fd153d032ca08987dc412a9c67b6794b21bf",1018,242,8262,11774,0,0,806,8,0,0,1198,0,192,1994,3044,15184,3114
"Metridia pacifica 5548f5906a4522e2196d674ad3826fb4fc8430b8",3016,168,1664,24,356,636,5022,4234,490,172,3186,74,0,2210,1614,56,0
" 562a6c89616b1cf51f15caa15b0e5a565dfe0427",1135,108,473,299,37,240,540,162,258,91,228,122,71,871,458,2929,534
"Metridia 57032ed98d1880faa541a6164b1166c24a0b0150",25,0,69,0,0,9,0,43,0,0,85,0,0,0,40,0,0
"Pleuromamma 5746f43063ff1ae03ed18e54fec36f56f3bba3ef",40,46,0,22,0,0,0,0,0,0,0,0,0,121,262,0,154
" 58aec46ab4910cf08bbfda67e8aa7321828ce906",427,101,214,264,0,0,282,22,57,25,71,49,240,845,291,2092,408
"Calanus 5c28fb044703f8d7dc9a17c20a178f0e34feb322",7875,2467,7606,739,0,246,8005,345,17,761,1964,1715,4127,6442,20129,313,3640
"Metridia pacifica 5c8ad94781a3e58614f1bada8d5faa13dd04610d",43,0,85,4,0,33,0,56,0,0,175,0,61,38,50,0,0
"Paracalanus parvus 5d9ee140b17e218e06fffae434d6dad14ebb91db",2138,396,1758,0,305,1127,745,483,782,408,1830,738,350,473,2829,0,480
"Metridia 5e14eb69f3ded47e81cbde8662320eb91d4db274",105,0,30,0,12,36,178,179,0,0,27,0,0,69,0,0,71
"Ctenocalanus vanus 5eb4964f39d7646d3f23200215f56a18b69ea8c6",73,0,0,0,0,0,0,0,0,0,57,415,0,0,0,81,84
"Paracalanus parvus 6719cb4eb8e5354c1a45ffde7b33672581382a84",209,0,91,7,0,0,0,0,0,0,70,0,89,0,67,0,6
" 6950a504c858e51241cac98cb4b1b8cad81eff0e",2837,202,1219,110,591,876,2490,2847,727,553,2475,132,39,1179,1173,178,274
"Metridia pacifica 6b976e008f3c98aa86cb64aa686cbfcb409c8f0a",11028,2864,10368,262,2492,4548,18612,9046,2446,3458,11886,9760,3524,7868,19964,0,5114
"Calanus helgolandicus 6db8cc221939cdc8c55a0191ffe9bdeca0679b0e",468,67,180,178,0,0,188,1,0,11,36,0,127,676,303,2693,259
"Calanus helgolandicus 6e6b2ae850506cc0ea7baa4492214e7987501560",10082,3752,8434,6114,0,227,7793,172,20,969,1935,4129,14861,21236,29038,36217,18003
"Neocalanus cristatus 7761526519fda29c5c9ac6663b370054e80b7263",63,53,47,13,96,25,461,408,757,460,875,921,445,161,314,141,96
"Calanus helgolandicus 78f54f41acba54d14189a57d673d19a7e9c4b936",1579,1066,1728,465,0,15,1294,10,1,67,297,460,2186,3632,6580,301,2062
"Pleuromamma borealis 7ed69f089c6a810c9434950899ffa09ad91e3f6d",69,27,59,0,1590,568,228,712,0,305,9,47,0,148,327,0,392
"Ctenocalanus vanus 7f93c2356b7a75855bf23901a4a4946a09c74ed6",161,41,300,7,875,1924,585,1279,2162,500,2344,1831,41,71,338,9,208
"Calanus 842a2506f3fd4a072c55a891ee9086fec57ce362",44,0,40,80,0,8,0,0,0,0,32,0,74,21,34,0,0
"Calocalanus styliremis 8621efe7a8640bc1c6ee9a6853dc555b10b9601f",20,0,0,0,0,0,14,0,0,464,26,1031,0,8,13,0,0
"Calanus helgolandicus 894f73dc6883f29a838304fd218efdfaf12bd154",346,690,287,0,0,38,1580,6,0,43,4,333,0,737,736,1279,590
"Pleuromamma 929371ba7bc4e9291b5d49829c93c66c67d836c3",306,0,0,0,10664,0,0,326,0,0,0,0,0,0,62,0,752
"Paracalanus parvus 961cd5ce154310c7fd54468560aca8d35041c8c7",6830,336,3302,35,1009,3591,1399,757,1599,2042,3097,5918,538,710,10433,71,667
"Metridia pacifica 97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",5434,610,5522,390,3602,8434,10466,12750,3444,4226,15008,9738,726,3266,4506,60,3426
"Metridia pacifica 97eba237b82c30ea20f6265eafa44e2dcba9c3da",580,0,376,0,66,0,0,880,0,70,2392,190,376,0,1832,8,0
"Calanus 9b9f6e13b644886afad8864d6601b2000dae17a0",184,66,98,862,0,2,29,2,0,29,84,165,793,328,741,2176,336
"Paracalanus parvus 9c1f29a7bb544b3ebd2d985b47670334284c6050",595,0,230,0,0,0,0,0,0,0,166,0,53,0,115,0,0
" a19023e2938b2d4c19d5e2b8c4962e8bcd73177d",2366,44,249,27,211,340,813,1921,252,75,1469,84,0,1023,298,3464,92
" a200a5e36062c3f55c14ae2fa7529f542abf7271",34,0,0,62,0,0,29,0,0,0,0,0,0,128,7,223,78
"Pleuromamma a32d276e30f76e771318e8c516046bc05f72db69",3810,448,3094,0,10328,8574,4528,24610,22142,2878,7432,5094,404,1240,1528,398,234
"Metridia pacifica b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",270886,50308,170774,2590,27394,40970,472946,153494,27544,102164,147696,110642,29090,200452,305238,230,91728
"Pleuromamma b308f1ff1c8a4490fc47c87f05295b7e5a4a6610",102,0,192,0,74,68,249,164,271,30,101,0,29,15,29,0,0
"Rhincalanus b39500169f19f6f7dc74cde23a266fe3bd9d8079",672,348,960,68,0,56,974,8,0,18,1268,0,126,342,2542,118,510
"Rhincalanus b7e9dc36de1a879d6ec7460013fa62304a3aabc1",50,0,453,481,0,0,0,0,0,0,0,0,17,114,0,788,228
" bb43537ab7d266d059e40deb9e1f8536790adc35",5440,105,2418,392,1114,2296,2582,4100,1429,1568,4148,560,4,1345,1176,2571,376
"Metridia pacifica bd47ade374a1d1bb53455acb57695af761642b75",2842,240,2284,0,126,778,5202,2556,510,2150,1862,1476,0,2752,3048,0,1208
"Metridia pacifica c106e1cd25bef13848fb5696229c97e7ec724fc1",370,0,512,0,450,654,576,1121,249,174,368,0,0,94,123,0,177
"Clausocalanus furcatus c40ce5c9da5927cd51e1e3df99e36cc3984796e8",183,0,644,0,4329,5995,991,5984,1990,1932,905,30441,3,265,0,234,1081
"Metridia c621ead91f54c394ee29a0669ebe477d85be4b7d",2113,680,2515,0,217,1057,979,670,595,461,1508,704,234,658,2712,0,921
"Pleuromamma cedcb1af2b62e6d6afea91c34a7db2530337e833",816,86,0,0,1334,0,56,162,0,0,0,0,0,0,1234,0,692
"Metridia daa82d75f78ac8d5bb5259c9020511942c2ef050",392,92,292,0,0,158,128,254,130,0,272,0,0,352,1074,0,202
"Pseudocalanus elongatus dbd95065a6787486d688fdf5fdc905e08c92b3c7",78,0,0,0,0,34,199,0,0,10,393,0,0,15,212,0,0
" e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc",412,126,190,2320,22,60,76,54,12,96,316,370,3400,1008,1670,7322,1152
"Metridia pacifica e199318c40876066960330bd9ea208fb7639a760",6704,3274,6820,1360,88,124,6150,578,814,824,3506,2516,6640,10292,23076,882,5818
"Neocalanus cristatus e396f514beb6bb0e29a828575cc7fea775d24085",246,118,310,14,410,356,1578,1770,3900,854,5160,1950,44,136,818,60,124
