"","Hash","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S2.2","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T3.H30_S2.1","CT1.T4.H31_S2.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","C1.T7.H9_S2.3","C2.T8.H18_S2.3","C2.T9.H19_S2.3","C3.T6.H25_S2.3","CT1.T1.H28_S2.3","CT1.T2.H29_S2.3","CT1.T5.H32_S2.3","CT1.T7.H34_S2.3","CT1.T8.H35_S2.3","CT2.T4.H39_S2.3","CT2.T8.H43_S2.3"
"1","0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0",527,306,305,1549,1727,3228,1087,2551,444,1341,89,737,0,0,0,0,166,340,0,0,0,102,0,0,0,135,4114,6761,118,3494,3180,2239,3378,5890,883,6702,559,1117,344,0,99,0,0,3697,2150,4968,730
"2","c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",303,207,176,1022,1114,2898,739,866,929,4734,1723,16185,0,0,0,0,19,23,9,29,0,0,0,0,13,33,375,836,414,7312,13867,5852,1457,2543,548,1249,42,3902,11511,0,0,0,0,58,2148,965,26
"3","c3db1f4fb87f52065f108aea13bad38e2d74d8fa",39,26,19,45,63,211,879,3865,74,913,25,147,0,0,0,0,169,1058,0,0,0,13,0,0,0,0,0,0,8,135,0,0,0,35,0,0,53,319,34,0,102,0,0,0,0,0,0
"4","f736c21058cc8ce107275dac622fe3b316a557a2",366,165,152,741,831,1412,682,1149,185,1034,28,378,0,0,0,0,80,157,0,0,0,89,0,0,33,121,1922,3655,100,2612,895,872,1685,3207,627,3605,139,822,152,0,32,0,0,1213,892,1935,267
"5","other",134,117,45,155,177,487,4591,1861,143,1184,37,256,450,2819,1524,2796,688,2192,941,7778,5245,3394,985,5392,1022,7220,437,3237,149,2476,3687,2426,548,1986,187,1584,54,717,5,567,59,709,1937,33,72,550,0
