"","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S3.2","C1.T8.H10_S3.2","C2.T8.H18_S3.2","C2.T9.H19_S3.2","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S3.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","CT1.T6.H33_S3.1","CT1.T6.H33_S3.2","CT1.T7.H34_S3.1","CT1.T7.H34_S3.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","C1.T7.H9_S3.3","C1.T8.H10_S3.3","C2.T9.H19_S3.3","CT1.T1.H28_S3.3","CT1.T4.H31_S3.3","CT1.T5.H32_S3.3","CT1.T6.H33_S3.3","CT1.T7.H34_S3.3","CT2.T1.H36_S3.3","CT2.T4.H39_S3.3","CT2.T8.H43_S3.3","spp_hash"
"1",303,207,176,1022,1114,2898,7910,21621,6692,7408,0,0,10305,17546,70,308,0,1246,1681,0,0,23,115,236,1225,1999,20746,22,102,0,0,1166,2483,1292,5618,10267,6398,197,0,0,75,0,0,788,"Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5"
"2",347,149,70,411,539,1665,14883,2567,8992,1698,1006,5448,744,2261,1231,4058,193,1576,3931,3829,7109,224,1216,762,5285,169,3043,658,9226,4810,2032,865,4380,902,121,7677,1393,178,285,226,697,1109,1722,1188,"other.other"
