"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S1.1","C1.T7.H9_S1.2","C1.T8.H10_S1.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T4.H31_S1.1","CT1.T4.H31_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","C1.T7.H9_S1.3","C1.T8.H10_S1.3","C2.T8.H18_S1.3","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T4.H31_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3","CT1.T7.H34_S1.3","CT1.T8.H35_S1.3","CT2.T1.H36_S1.3","CT2.T8.H43_S1.3","spp_hash"
"11",29474,24291,20157,10396,12520,12766,6834,8401,7270,58,3354,179,164,319,0,0,0,0,54,1240,14,40,0,0,16,14,46,239,142,355,779,2011,168,1145,486,8809,686,3289,212,459,1628,46,547,0,45,28,0,0,398,134,70,1936,8992,313,65,"Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2"
"12",594,531,369,195,201,216,93,72,86,0,234,26,0,8,0,0,0,0,0,102,0,4,0,0,0,0,31,148,0,0,21,0,0,63,11,238,203,1070,64,106,128,0,0,0,0,0,0,0,0,90,0,0,773,0,0,"Calanoida.5153fd153d032ca08987dc412a9c67b6794b21bf"
"13",224,172,173,150,135,175,70,64,124,0,119,0,0,11,0,12,0,26,0,49,32,33,107,113,0,0,21,75,0,1,0,0,22,55,0,58,166,1354,5,21,56,0,0,0,49,0,14,38,0,84,0,0,106,0,0,"Calanoida.562a6c89616b1cf51f15caa15b0e5a565dfe0427"
"14",4192,3856,3915,2841,3648,3624,2827,3521,2836,58,3314,922,107,1039,0,0,0,0,108,2220,99,115,0,0,0,40,170,503,0,105,238,1819,1186,1931,106,4532,0,254,824,1236,1448,354,2146,0,246,686,120,0,300,547,171,2016,1219,560,724,"Calanus.5c28fb044703f8d7dc9a17c20a178f0e34feb322"
"15",194,192,170,127,130,162,100,98,170,18,1270,273,54,586,11,185,98,627,36,581,144,190,341,332,19,28,158,797,35,329,45,147,119,265,56,1735,0,0,124,237,850,123,907,109,402,120,149,109,361,875,374,158,82,248,119,"Paracalanus parvus.5d9ee140b17e218e06fffae434d6dad14ebb91db"
"16",181,151,146,119,149,141,101,98,128,0,324,86,0,73,0,114,89,220,42,444,372,326,266,297,0,38,83,257,0,0,0,0,242,375,0,126,0,178,79,122,186,59,149,111,410,217,303,164,243,356,0,39,221,49,73,"Calanoida.6950a504c858e51241cac98cb4b1b8cad81eff0e"
"17",1971,1755,1621,1310,1748,1567,1031,1265,1213,0,1887,591,0,627,0,428,428,691,0,2859,750,1113,402,275,0,184,468,1321,294,1818,128,566,753,1402,64,2442,0,0,576,747,1118,594,1587,292,1064,2434,1490,188,1108,2089,1929,1068,1313,290,1053,"Metridia pacifica.6b976e008f3c98aa86cb64aa686cbfcb409c8f0a"
"18",196,157,150,111,169,166,111,108,110,0,55,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,48,0,0,165,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,"Calanus helgolandicus.6db8cc221939cdc8c55a0191ffe9bdeca0679b0e"
"19",13679,12347,11543,8478,10404,10097,6754,7928,6465,77,4999,546,217,762,0,0,0,0,150,2289,45,117,0,0,0,34,173,654,104,496,722,2741,669,2315,406,9068,390,2474,690,1123,2521,185,1514,0,218,174,0,0,397,568,300,3161,2270,571,284,"Calanus helgolandicus.6e6b2ae850506cc0ea7baa4492214e7987501560"
"20",537,443,387,176,217,221,110,103,120,0,49,13,3,0,0,0,0,0,12,306,25,82,378,298,12,7,107,492,48,104,0,0,0,23,2,29,0,0,9,8,14,3,11,0,15,0,0,35,405,226,24,0,24,0,0,"Neocalanus cristatus.7761526519fda29c5c9ac6663b370054e80b7263"
