"","Hash","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S1.2","C1.T8.H10_S1.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","C1.T8.H10_S1.3","C2.T8.H18_S1.3","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3","CT1.T7.H34_S1.3","CT1.T8.H35_S1.4","CT2.T8.H43_S1.3"
"1","7df189e993f359afe2e5bcaebc5218a2a5b5b64e",71,41,37,107,94,194,4326,1004,116,689,38,421,587,1774,154,891,2921,2939,7264,8041,286,2348,212,1089,532,323,87,165,0,112,0,10,338,501,156,993,56,120,161,935,1659,235,335,796,20,167
"2","c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",303,207,176,1022,1114,2898,13542,6173,930,7899,6,26,0,0,19,75,0,8,0,0,0,9,0,11,120,30,358,452,1533,8499,73,347,24858,20891,1894,14600,0,26,0,0,0,0,0,66,35,27820
"3","f736c21058cc8ce107275dac622fe3b316a557a2",366,165,152,741,831,1412,553,172,29,54,0,0,0,0,0,21,7,3,0,0,0,0,0,0,94,105,0,0,0,52,60,814,56,60,0,0,0,0,0,0,0,0,0,185,238,0
"4","other",320,190,97,736,825,1995,20222,2831,99,1142,112,3264,2407,2653,260,2196,752,1431,2104,2019,291,1720,159,1675,475,247,729,2226,64,442,384,1802,256,316,6,394,172,611,9,141,49,295,86,284,1070,27
