"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S2.1","C1.T7.H9_S2.2","C1.T8.H10_S2.1","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T3.H30_S2.1","CT1.T4.H31_S2.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","C1.T7.H9_S2.3","C2.T8.H18_S2.3","C2.T9.H19_S2.3","C3.T6.H25_S2.3","C3.T7.H26_S2.3","CT1.T1.H28_S2.3","CT1.T2.H29_S2.3","CT1.T4.H31_S2.3","CT1.T5.H32_S2.3","CT1.T7.H34_S2.3","CT1.T8.H35_S2.4","CT2.T4.H39_S2.3","CT2.T8.H43_S2.3"
".2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",8848,5942,4818,2716,3816,3497,1766,2273,4127,0,156,159,577,664,1903,2326,15221,0,0,0,0,0,0,1009,2158,0,0,0,0,0,819,0,151,408,7413,0,300,2682,5910,229,329,0,2473,20208,0,0,0,2412,0,0,23,2647,5046,0
"Metridia.32c7429ef986d3d6e6568889cab2755dd190fdbc",68,45,44,36,42,53,32,30,30,0,0,0,12,13,17,0,0,0,30,0,12,0,13,68,134,17,51,185,414,30,165,2,5,0,20,214,172,0,0,4,3,0,80,0,16,0,0,51,0,133,0,0,0,0
"Calanus helgolandicus.341d37f9958a54163d7987e0dc5bb17818c5c7d8",313,287,312,284,288,309,294,318,256,0,0,0,195,0,77,0,126,0,0,0,0,28,34,0,0,0,37,0,3,0,75,0,245,0,541,113,79,292,698,0,345,0,128,119,0,0,35,0,0,0,0,347,675,0
"Calanus.363a7fed6b4ef59f0d3847483c765d95cd1bc297",134,118,115,102,71,99,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,33,87,180,0,98,47,53,0,0,0,0,0,18,0,0,0,0,0,0,0,99,0,0,0
"Metridia pacifica.3855bfab8b2afdb2b740530c990e9a2535c5a15b",10699,9996,9059,6637,7841,7838,4882,5759,4685,167,3594,167,1428,1002,4029,99,253,0,169,23,62,2895,4523,211,423,160,776,564,1378,370,2953,0,95,170,2188,8265,7383,0,39,280,1143,1974,4378,188,116,0,4837,345,0,1184,0,323,0,0
"Pleuromamma borealis.387d4852e3e92fa092e4d58207f93a07a1040fd7",398,330,221,82,65,75,11,27,30,0,0,0,0,0,0,0,0,689,3732,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,4,0,0,1503,0,0,52,0,0,0,0,0,0
".3907c0c3540893fea852cf1e2e15ee876e097dc1",2365,1584,1339,755,1074,936,488,570,1098,0,0,0,0,0,442,0,0,0,0,0,0,156,178,5732,13480,11807,0,89,272,947,6050,0,171,0,565,0,230,0,717,0,0,0,1004,493,0,0,42,11544,0,78,0,202,614,0
"Metridia pacifica.3a4660f8928b0bba5379764b63c8f98ae30a1d3b",780,718,589,426,524,507,347,439,331,0,1551,0,345,0,341,0,0,352,2285,59,161,633,925,2025,4172,146,739,194,546,176,1433,0,0,0,57,1202,1073,0,0,0,55,784,2458,0,1089,0,867,3209,0,324,0,0,0,0
".3b46a0689c4dc296a5046eb3cfb003a0ca04e7fe",81,81,67,52,84,70,48,60,72,0,0,0,12,0,22,3,0,0,73,0,50,18,0,103,254,0,104,399,959,0,227,0,0,0,6,459,267,0,0,0,0,0,294,0,64,0,7,251,0,418,0,0,0,0
"Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2",29474,24291,20157,10396,12520,12766,6834,8401,7270,0,163,619,4299,605,2062,551,1789,0,0,0,0,492,824,0,2,0,295,11,45,644,2486,15181,47764,1740,36637,3475,3858,6792,17470,3152,20057,19,780,1493,0,0,168,0,0,39,15724,13411,14051,996
