"","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S2.2","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T3.H30_S2.1","CT1.T4.H31_S2.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","C1.T7.H9_S2.3","C2.T8.H18_S2.3","C2.T9.H19_S2.3","C3.T6.H25_S2.3","CT1.T1.H28_S2.3","CT1.T2.H29_S2.3","CT1.T5.H32_S2.3","CT1.T7.H34_S2.3","CT1.T8.H35_S2.3","CT2.T4.H39_S2.3","CT2.T8.H43_S2.3","Genus"
"1",1307,703,666,3569,3968,6987,3304,6786,629,3897,117,1297,0,0,0,0,246,674,0,8,0,314,13,68,33,292,9088,18151,343,10692,8202,5746,8258,16170,2617,18737,698,2949,526,0,131,0,29,7121,4243,10768,1273,"Calanus"
"2",71,41,37,107,94,349,0,0,15,32,0,0,0,0,0,0,2,2,9,68,26,3,0,0,7,33,0,0,0,10,22,18,0,0,44,39,0,98,0,0,0,0,0,0,0,0,0,"Ctenocalanus"
"3",16,13,0,17,17,73,2029,230,43,89,10,11,0,28,7,33,154,260,164,414,20,71,0,5,0,53,0,0,26,422,3918,1422,0,0,221,580,380,62,6,0,25,48,0,0,63,0,13,"Pleuromamma"
"4",303,207,176,1022,1114,2900,739,866,929,4734,1723,16381,0,9,6,11,19,23,9,111,0,0,0,0,26,129,375,836,414,7336,13897,5854,1457,2543,548,1249,42,3902,11516,0,0,9,0,58,2148,965,26,"Euphausia"
"5",39,26,19,45,63,211,881,4576,74,913,25,147,0,0,0,0,169,1238,0,0,0,13,0,0,0,0,0,0,8,135,0,0,0,35,0,0,53,319,34,0,102,0,0,0,0,0,0,"Rosacea"
"6",6,0,0,5,7,21,6017,15,5,117,0,0,0,0,0,0,18,71,5,52,0,9,7,116,2,9,0,0,0,51,153,574,0,0,0,9,1114,61,0,0,7,0,0,0,0,0,0,"Metridia"
"7",85,18,0,27,27,675,966,186,172,1246,21,30,233,2079,1603,1936,671,1753,2130,9158,1907,2777,5819,12923,898,6374,812,3478,85,1410,6998,7172,854,1926,122,221,11,2835,0,198,162,1257,5707,157,90,399,0,"other"
