"","X","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"36",36,"seq_19_Calanoida.Calanus helgolandicus.894f7",NA,NA,NA,NA,0.00294033046757646,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"37",37,"seq_28_Calanoida..ff62c",NA,NA,NA,NA,0.00234906836268337,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"38",38,"seq_18_Calanoida.Calanus helgolandicus.78f54",NA,NA,NA,NA,0.00234842015371477,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"39",39,"seq_27_Calanoida.Pleuromamma.fa735",NA,NA,NA,NA,0.00202818104184458,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"40",40,"seq_19_Calanoida.Calanus helgolandicus.894f7",NA,NA,NA,NA,0.00192143467122118,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"41",41,"seq_28_Calanoida..ff62c",NA,NA,NA,NA,0.00192143467122118,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"42",42,"seq_18_Calanoida.Calanus helgolandicus.78f54",NA,NA,NA,NA,0.00177378631467928,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"43",43,"seq_7_Calanoida.Calanus helgolandicus.341d3",NA,NA,NA,NA,0.00160119555935098,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"44",44,"seq_12_Calanoida..5153f",NA,NA,NA,NA,0.00153408546134424,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"45",45,"seq_7_Calanoida.Calanus helgolandicus.341d3",NA,NA,NA,NA,0.00140624500623222,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"46",46,"seq_4_Calanoida.Eucalanus californicus.247f0",NA,NA,NA,NA,0.00116654415289718,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"47",47,"seq_25_Calanoida..e01f9",NA,NA,NA,NA,0.000910863242673144,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"48",48,"seq_21_Calanoida.Calanus.9b9f6",NA,NA,NA,NA,0.000591262104893093,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"49",49,"seq_4_Calanoida.Eucalanus californicus.247f0",NA,NA,NA,NA,0.000480358667805295,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"50",50,"seq_21_Calanoida.Calanus.9b9f6",NA,NA,NA,NA,0.000480358667805295,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"51",51,"seq_25_Calanoida..e01f9",NA,NA,NA,NA,0.000320239111870196,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"52",52,"seq_1_Calanoida.Rhincalanus.1784e",NA,NA,NA,NA,0.00025568091022404,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
