"","Hash","C1.T7.H9_S3","C1.T8.H10_S3","C2.T8.H18_S3","C2.T9.H19_S3","C3.T7.H26_S3","CT1.T1.H28_S3","CT1.T2.H29_S3","CT1.T3.H30_S3","CT1.T4.H31_S3","CT1.T5.H32_S3","CT1.T6.H33_S3","CT1.T7.H34_S3","CT1.T8.H35_S3","CT2.T1.H36_S3","CT2.T4.H39_S3","CT2.T8.H43_S3"
"1","0024d4c453065d2e9af807d31529fa9c00bf129a",0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
"2","0171cc759ee283cc9c17ac4964b6e648bd6aef3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","01b97529fd4da6746938629b3f594b1850799273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","01c55b9f67a6170855c287949c92743d80757e48",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
"5","01cfa38140aa27513302c83969784a3f310533bf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","023b006896972415f71fb818cada163f1694851d",0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"7","0260bfbe825d95aca7b54a0909f97b59dc580e78",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"8","02a07907732e29c1a97ed0eeda0a2d5a538f3a41",0,0,0,22,0,0,0,0,0,0,3,33,0,0,0,0
"9","02c90074622fc4d9d4041cf51de9f4ec3476d802",0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0
"10","031ac4e0dd2ecc8f1dcecff888fa78cd7daee6cf",97,0,0,1004,0,0,0,0,0,0,56,349,0,0,0,0
"11","03599a41dc58fa0b03c2cf20501578ca7fe0c5df",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"12","039b01a21f2e8e25aa65334cf9c39232ca0a6cef",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"13","03d248ca09897238d6786ac114dc38af6a40fe79",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"14","03ecec8441f3bf1abb7e5604eebade5c7e7724b7",0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0
"15","03fba41d417e1684ad60fd40ed312faa7e70c867",0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
"16","044bf9f76c6c7687251d1d5b72feb4028789aa66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","0540babc65432e8fdd05b298eb3d48f59be6bfad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","066d6c0a1c3acc0089bec056b599c273a8c9fc80",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"19","068a040b5fd0c6779cceebb744bd1ed1ae094f50",0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
"20","073f1a97c014aa752e2ca771dc99a2f86a0e1d45",0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0
"21","07400dec706e2853c78fd49fd403d3bd3df30ff8",0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
"22","07c8ab36d42e20fe4e9b6152334e243678cc2733",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
