Sample_name,Locus,Hash,nReads
C1-T7-H9_S2.1,Leray,c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5,42
C1-T7-H9_S2.1,Leray,0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0,559
C1-T7-H9_S2.1,Leray,f736c21058cc8ce107275dac622fe3b316a557a2,139
C1-T7-H9_S2.1,Leray,4dbdc9b023c5d3ceda488650fbd338ef96f092d7,347
C1-T7-H9_S2.1,Leray,c3db1f4fb87f52065f108aea13bad38e2d74d8fa,53
C1-T7-H9_S2.1,Leray,b66bf92767420eb5115b7c8aed4dc41a7d17af6d,85
C1-T7-H9_S2.1,Leray,914275e6686877e25cfdb5df6c8a42744c44f9b0,380
C1-T7-H9_S2.1,Leray,cdffdeed24846ab0fa0610d9f5c119df862c22d2,1114
C1-T7-H9_S2.1,Leray,3fa61d50fd4949e0d04c0b48f09576ec54f63232,130
C1-T7-H9_S2.1,Leray,f2de4b4c8738d490ead883366453538121354285,223
C1-T7-H9_S2.1,Leray,96b0c12782bc61deb3c003cecaa108f2e2b30186,43
C1-T7-H9_S2.1,Leray,cb03419adaeec7a7834e0141e9a7eaf66ee2db7a,9
C1-T7-H9_S2.1,Leray,5a5b0e270b0683dc34e23f7b50a7611365052f5d,8
C1-T7-H9_S2.1,Leray,a6a2a9f4b7a190289535a32a1df4a2456a5384b1,2
C1-T7-H9_S3.1,Leray,c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5,1292
C1-T7-H9_S3.1,Leray,0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0,84
C1-T7-H9_S3.1,Leray,f736c21058cc8ce107275dac622fe3b316a557a2,37
C1-T7-H9_S3.1,Leray,c3db1f4fb87f52065f108aea13bad38e2d74d8fa,313
C1-T7-H9_S3.1,Leray,fe2c97a1043d00c6f439246c609f21f5739178f4,89
C1-T7-H9_S3.1,Leray,e07e8d71a4dde5c696c67e8e09be6a3d39492e6e,154
C1-T7-H9_S3.1,Leray,b37e3b9daa45e1a30a993dbde4d4ff2543572298,166
C1-T7-H9_S3.1,Leray,277b80fdb5e574c7b80b5a61bb9d14bd71fecb9b,98
C1-T7-H9_S3.1,Leray,cd461f97fea3eb247657aaf6ea054a4ff990ac82,9
C1-T7-H9_S3.1,Leray,53a2d78a68aafb3b11e35a1cd19447a1533b279f,83
C1-T7-H9_S3.1,Leray,3b40106afbb37d7c187b02f596332415ddc60eb2,13
