"","24C_Pooled.A1.A3.1","24C_Pooled.A1.A3.2","24C_Pooled.A1.A3.3","28C_Pooled.A1.A3.1","28C_Pooled.A1.A3.2","C1.T7.H9_S2.2","C1.T7.H9_S2.3","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T8.H18_S2.3","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C2.T9.H19_S2.3","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T6.H25_S2.3","C3.T7.H26_S2.1","C3.T7.H26_S2.2","Genus"
"1",292,108,85,227,278,3304,698,6786,629,3897,2949,117,1297,526,0,0,0,0,0,"Calanus"
"2",14,6,0,10,0,2029,380,230,43,89,62,10,11,6,0,28,0,7,33,"Pleuromamma"
"3",1435,588,576,1421,1548,739,42,866,929,4734,3902,1723,16381,11516,0,9,0,6,11,"Euphausia"
"4",256,132,117,173,116,881,53,4576,74,913,319,25,147,34,0,0,0,0,0,"Rosacea"
"5",402,189,106,187,139,6983,1125,201,192,1395,2994,21,30,0,233,2079,198,1603,1936,"other"
