"","24C_Pooled.C5.C7.1","24C_Pooled.C5.C7.2","28C_Pooled.C5.C7.1","28C_Pooled.C5.C7.2","28C_Pooled.C5.C7.3","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T7.H34_S1.3","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT1.T8.H35_S1.4","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","CT2.T8.H43_S1.3","Genus"
"1",3664,1830,8834,10617,7084,282,384,633,89,134,1053,20,101,218,3397,169,209,51,"Calanus"
"2",0,0,7,7,6,18,14,10,35,98,0,0,0,0,0,0,0,0,"Muggiaea"
"3",55,0,245,238,145,31,31,7,13,35,748,2,0,553,8447,0,8,0,"Eucalanus"
"4",13,7,0,13,10,963,730,1866,87,253,20,12,112,0,10,688,1007,375,"Ctenocalanus"
"5",316,131,639,912,445,120,30,66,358,460,35,1533,8499,73,347,24858,20925,27825,"Euphausia"
"6",0,0,5,10,6,140,427,341,523,670,168,0,12,0,3,436,527,224,"Ditrichocorycaeus"
"7",27,8,42,56,24,209,80,135,1274,2829,614,36,252,759,5341,1305,1287,579,"other"
