"","28C_Pooled.B3.B5.1","28C_Pooled.B3.B5.3","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T1.H28_S1.3","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T2.H29_S1.3","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T3.H30_S1.3","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T5.H32_S1.3","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T6.H33_S1.3","Genus"
"1",20,16,36,106,32,7,3,0,0,0,0,0,52,0,0,11,0,"Calanus"
"2",154,152,273,1143,166,5756,5068,2431,9590,5239,1224,1249,4960,807,142,671,262,"Clausocalanus"
"3",300,226,267,1416,300,5128,5110,1830,12236,13279,2914,446,3835,348,324,1418,514,"Ctenocalanus"
"4",0,10,69,306,78,729,445,206,572,220,16,55,191,24,0,4,0,"Pleuromamma"
"5",302,256,95,955,14,301,659,19,2006,630,45,98,865,40,113,783,69,"other"
