"","28C_Pooled.B3.B5.1","28C_Pooled.B3.B5.3","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T1.H28_S2.3","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T2.H29_S2.3","CT1.T3.H30_S2.1","CT1.T4.H31_S2.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T5.H32_S2.3","Genus"
"1",0,0,146,368,23,259,1587,132,1207,770,50,205,22,"Genus"
"2",300,226,2,2,0,9,68,0,26,3,0,0,0,"Ctenocalanus"
"3",0,10,154,260,25,164,414,48,20,71,0,5,0,"Pleuromamma"
"4",292,184,21,139,0,1078,3352,790,72,1464,3884,11454,5135,"Eucalanus"
"5",184,240,956,3252,379,807,4390,344,628,879,1905,1448,579,"other"
