,Sample_name,cycle_num,Pool,sample_id,sample_num
75,CT1.T2.H29_S1.3,30,3,CT1.T2.H29_S1,CT1.T2.H29_S1
76,CT1.T2.H29_S2.1,30,1,CT1.T2.H29_S2,CT1.T2.H29_S2
77,CT1.T2.H29_S2.2,30,2,CT1.T2.H29_S2,CT1.T2.H29_S2
78,CT1.T2.H29_S2.3,30,3,CT1.T2.H29_S2,CT1.T2.H29_S2
79,CT1.T2.H29_S3.1,30,1,CT1.T2.H29_S3,CT1.T2.H29_S3
80,CT1.T2.H29_S3.2,30,2,CT1.T2.H29_S3,CT1.T2.H29_S3
81,CT1.T3.H30_S1.1,30,1,CT1.T3.H30_S1,CT1.T3.H30_S1
82,CT1.T3.H30_S1.2,30,2,CT1.T3.H30_S1,CT1.T3.H30_S1
83,CT1.T3.H30_S1.3,30,3,CT1.T3.H30_S1,CT1.T3.H30_S1
84,CT1.T3.H30_S2.1,30,1,CT1.T3.H30_S2,CT1.T3.H30_S2
85,CT1.T3.H30_S3.2,30,2,CT1.T3.H30_S3,CT1.T3.H30_S3
86,CT1.T4.H31_S1.1,30,1,CT1.T4.H31_S1,CT1.T4.H31_S1
87,CT1.T4.H31_S1.2,30,2,CT1.T4.H31_S1,CT1.T4.H31_S1
88,CT1.T4.H31_S1.3,30,3,CT1.T4.H31_S1,CT1.T4.H31_S1
89,CT1.T4.H31_S2.2,30,2,CT1.T4.H31_S2,CT1.T4.H31_S2
90,CT1.T4.H31_S3.1,30,1,CT1.T4.H31_S3,CT1.T4.H31_S3
91,CT1.T4.H31_S3.2,30,2,CT1.T4.H31_S3,CT1.T4.H31_S3
92,CT1.T4.H31_S3.3,30,3,CT1.T4.H31_S3,CT1.T4.H31_S3
93,CT1.T5.H32_S1.1,30,1,CT1.T5.H32_S1,CT1.T5.H32_S1
94,CT1.T5.H32_S1.2,30,2,CT1.T5.H32_S1,CT1.T5.H32_S1
95,CT1.T5.H32_S1.3,30,3,CT1.T5.H32_S1,CT1.T5.H32_S1
96,CT1.T5.H32_S2.1,30,1,CT1.T5.H32_S2,CT1.T5.H32_S2
97,CT1.T5.H32_S2.2,30,2,CT1.T5.H32_S2,CT1.T5.H32_S2
98,CT1.T5.H32_S2.3,30,3,CT1.T5.H32_S2,CT1.T5.H32_S2
99,CT1.T5.H32_S3.1,30,1,CT1.T5.H32_S3,CT1.T5.H32_S3
100,CT1.T5.H32_S3.2,30,2,CT1.T5.H32_S3,CT1.T5.H32_S3
101,CT1.T5.H32_S3.3,30,3,CT1.T5.H32_S3,CT1.T5.H32_S3
102,CT1.T6.H33_S1.1,30,1,CT1.T6.H33_S1,CT1.T6.H33_S1
103,CT1.T6.H33_S1.2,30,2,CT1.T6.H33_S1,CT1.T6.H33_S1
104,CT1.T6.H33_S1.3,30,3,CT1.T6.H33_S1,CT1.T6.H33_S1
105,CT1.T6.H33_S2.1,30,1,CT1.T6.H33_S2,CT1.T6.H33_S2
106,CT1.T6.H33_S2.2,30,2,CT1.T6.H33_S2,CT1.T6.H33_S2
107,CT1.T6.H33_S3.1,30,1,CT1.T6.H33_S3,CT1.T6.H33_S3
108,CT1.T6.H33_S3.2,30,2,CT1.T6.H33_S3,CT1.T6.H33_S3
109,CT1.T6.H33_S3.3,30,3,CT1.T6.H33_S3,CT1.T6.H33_S3
110,CT1.T7.H34_S1.1,30,1,CT1.T7.H34_S1,CT1.T7.H34_S1
111,CT1.T7.H34_S1.2,30,2,CT1.T7.H34_S1,CT1.T7.H34_S1
112,CT1.T7.H34_S1.3,30,3,CT1.T7.H34_S1,CT1.T7.H34_S1
113,CT1.T7.H34_S2.1,30,1,CT1.T7.H34_S2,CT1.T7.H34_S2
114,CT1.T7.H34_S2.2,30,2,CT1.T7.H34_S2,CT1.T7.H34_S2
115,CT1.T7.H34_S2.3,30,3,CT1.T7.H34_S2,CT1.T7.H34_S2
116,CT1.T7.H34_S3.1,30,1,CT1.T7.H34_S3,CT1.T7.H34_S3
117,CT1.T7.H34_S3.2,30,2,CT1.T7.H34_S3,CT1.T7.H34_S3
118,CT1.T7.H34_S3.3,30,3,CT1.T7.H34_S3,CT1.T7.H34_S3
119,CT1.T8.H35_S1.1,30,1,CT1.T8.H35_S1,CT1.T8.H35_S1
120,CT1.T8.H35_S1.2,30,2,CT1.T8.H35_S1,CT1.T8.H35_S1
121,CT1.T8.H35_S1.3,30,3,CT1.T8.H35_S1,CT1.T8.H35_S1
122,CT1.T8.H35_S1.4,30,4,CT1.T8.H35_S1,CT1.T8.H35_S1
123,CT1.T8.H35_S2.1,30,1,CT1.T8.H35_S2,CT1.T8.H35_S2
124,CT1.T8.H35_S2.2,30,2,CT1.T8.H35_S2,CT1.T8.H35_S2
125,CT1.T8.H35_S2.3,30,3,CT1.T8.H35_S2,CT1.T8.H35_S2
126,CT1.T8.H35_S3.1,30,1,CT1.T8.H35_S3,CT1.T8.H35_S3
127,CT1.T8.H35_S3.2,30,2,CT1.T8.H35_S3,CT1.T8.H35_S3
128,CT2.T1.H36_S1.1,30,1,CT2.T1.H36_S1,CT2.T1.H36_S1
129,CT2.T1.H36_S1.2,30,2,CT2.T1.H36_S1,CT2.T1.H36_S1
130,CT2.T1.H36_S1.3,30,3,CT2.T1.H36_S1,CT2.T1.H36_S1
131,CT2.T1.H36_S2.1,30,1,CT2.T1.H36_S2,CT2.T1.H36_S2
132,CT2.T1.H36_S2.2,30,2,CT2.T1.H36_S2,CT2.T1.H36_S2
133,CT2.T1.H36_S3.1,30,1,CT2.T1.H36_S3,CT2.T1.H36_S3
134,CT2.T1.H36_S3.2,30,2,CT2.T1.H36_S3,CT2.T1.H36_S3
135,CT2.T1.H36_S3.3,30,3,CT2.T1.H36_S3,CT2.T1.H36_S3
136,CT2.T4.H39_S1.1,30,1,CT2.T4.H39_S1,CT2.T4.H39_S1
137,CT2.T4.H39_S1.2,30,2,CT2.T4.H39_S1,CT2.T4.H39_S1
