,Hash,24C_AllPool.1,24C_AllPool.2,24C_AllPool.3,24C_Pooled-A1-A3.1,24C_Pooled-A1-A3.2,24C_Pooled-A1-A3.3,24C_Pooled-C5-C7.1,24C_Pooled-C5-C7.2,28C_AllPool.1,28C_AllPool.2,28C_AllPool.3,28C_Pooled-A1-A3.1,28C_Pooled-A1-A3.2,28C_Pooled-B3-B5.1,28C_Pooled-B3-B5.3,28C_Pooled-C5-C7.1,28C_Pooled-C5-C7.2,28C_Pooled-C5-C7.3,C1-T7-H9_S2.3,C1-T7-H9_S3.3,C1-T8-H10_S1.3,C1-T8-H10_S3.3,C2-T8-H18_S1.3,C2-T8-H18_S2.3,C2-T9-H19_S2.3,C2-T9-H19_S3.3,C3-T6-H25_S1.3,C3-T6-H25_S2.3,C3-T7-H26_S1.3,CT1-T1-H28_S1.3,CT1-T1-H28_S2.3,CT1-T1-H28_S3.3,CT1-T2-H29_S1.3,CT1-T2-H29_S2.3,CT1-T3-H30_S1.3,CT1-T4-H31_S3.3,CT1-T5-H32_S1.3,CT1-T5-H32_S2.3,CT1-T5-H32_S3.3,CT1-T6-H33_S1.3,CT1-T6-H33_S3.3,CT1-T7-H34_S1.3,CT1-T7-H34_S2.3,CT1-T7-H34_S3.3,CT1-T8-H35_S1.4,CT1-T8-H35_S2.3,CT2-T1-H36_S3.3,CT2-T4-H39_S2.3,CT2-T4-H39_S3.3,CT2-T8-H43_S1.3,CT2-T8-H43_S2.3,CT2-T8-H43_S3.3
19,0a19cb3e89d835f71f2511817816e72a13f12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0addddea2e31c52f3d628c2316a131f4ddde1cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0b40dfc7414149de977a1bbda6aa25f16cb47de1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0b5ed86dbb6b4c8a2be9a2d60e3c1ebfea0545fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0b9add1f44edbc519928bd486242d6cc3d48e65f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0bbec8a0660728065cd77bb14a67e28d3fb7b0e3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0c51f2f29827df7af1f0210d4764602e7050b193,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9221,0,0,0,0,0,0,0,0,0,0,0
26,0c5f717df26c953546e7fc409f2a71721edbf855,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0,527,306,305,213,76,85,1444,819,1549,1727,3228,173,218,20,0,3789,4556,3363,559,84,47,0,301,1117,344,61,0,0,65,32,99,0,0,0,0,0,0,0,0,0,0,448,3697,285,384,2150,918,4968,2400,51,730,3324
28,0cc4230912435794baff2eae4454b7596ca6e208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0cc7783b88175ad26d5777ca4f3a521d14a66c1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0cccaa9c4a9c0d2e44727ea23922450639a795a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,0,0,0
31,0d5a2b9078937a5f710bae6768072e3908ce7f58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
