,Sample_name,cycle_num,Pool,sample_id,sample_num
67,CT1.T8.H35_S1.4,30,4,CT1.T8.H35_S1,CT1.T8.H35_S1
68,CT2.T8.H43_S1.3,30,3,CT2.T8.H43_S1,CT2.T8.H43_S1
69,C1.T7.H9_S1.1,30,1,C1.T7.H9_S1,C1.T7.H9_S1
70,C1.T7.H9_S1.2,30,2,C1.T7.H9_S1,C1.T7.H9_S1
71,C1.T7.H9_S1.3,30,3,C1.T7.H9_S1,C1.T7.H9_S1
72,C1.T8.H10_S1.2,30,2,C1.T8.H10_S1,C1.T8.H10_S1
73,C1.T8.H10_S1.3,30,3,C1.T8.H10_S1,C1.T8.H10_S1
74,C2.T8.H18_S1.1,30,1,C2.T8.H18_S1,C2.T8.H18_S1
75,C2.T8.H18_S1.2,30,2,C2.T8.H18_S1,C2.T8.H18_S1
76,C2.T8.H18_S1.3,30,3,C2.T8.H18_S1,C2.T8.H18_S1
77,C3.T6.H25_S1.1,30,1,C3.T6.H25_S1,C3.T6.H25_S1
78,C3.T6.H25_S1.2,30,2,C3.T6.H25_S1,C3.T6.H25_S1
79,C3.T6.H25_S1.3,30,3,C3.T6.H25_S1,C3.T6.H25_S1
80,C3.T7.H26_S1.1,30,1,C3.T7.H26_S1,C3.T7.H26_S1
81,C3.T7.H26_S1.2,30,2,C3.T7.H26_S1,C3.T7.H26_S1
82,C3.T7.H26_S1.3,30,3,C3.T7.H26_S1,C3.T7.H26_S1
83,C1.T7.H9_S2.1,30,1,C1.T7.H9_S2,C1.T7.H9_S2
84,C1.T7.H9_S2.2,30,2,C1.T7.H9_S2,C1.T7.H9_S2
85,C1.T7.H9_S2.3,30,3,C1.T7.H9_S2,C1.T7.H9_S2
86,C1.T8.H10_S2.1,30,1,C1.T8.H10_S2,C1.T8.H10_S2
87,C1.T8.H10_S2.2,30,2,C1.T8.H10_S2,C1.T8.H10_S2
88,C2.T8.H18_S2.1,30,1,C2.T8.H18_S2,C2.T8.H18_S2
89,C2.T8.H18_S2.2,30,2,C2.T8.H18_S2,C2.T8.H18_S2
90,C2.T8.H18_S2.3,30,3,C2.T8.H18_S2,C2.T8.H18_S2
91,C2.T9.H19_S2.1,30,1,C2.T9.H19_S2,C2.T9.H19_S2
92,C2.T9.H19_S2.2,30,2,C2.T9.H19_S2,C2.T9.H19_S2
93,C2.T9.H19_S2.3,30,3,C2.T9.H19_S2,C2.T9.H19_S2
94,C3.T6.H25_S2.1,30,1,C3.T6.H25_S2,C3.T6.H25_S2
95,C3.T6.H25_S2.2,30,2,C3.T6.H25_S2,C3.T6.H25_S2
96,C3.T6.H25_S2.3,30,3,C3.T6.H25_S2,C3.T6.H25_S2
97,C3.T7.H26_S2.1,30,1,C3.T7.H26_S2,C3.T7.H26_S2
98,C3.T7.H26_S2.2,30,2,C3.T7.H26_S2,C3.T7.H26_S2
99,C3.T7.H26_S2.3,30,3,C3.T7.H26_S2,C3.T7.H26_S2
100,C1.T7.H9_S3.2,30,2,C1.T7.H9_S3,C1.T7.H9_S3
101,C1.T7.H9_S3.3,30,3,C1.T7.H9_S3,C1.T7.H9_S3
102,C1.T8.H10_S3.2,30,2,C1.T8.H10_S3,C1.T8.H10_S3
103,C1.T8.H10_S3.3,30,3,C1.T8.H10_S3,C1.T8.H10_S3
104,C2.T8.H18_S3.1,30,1,C2.T8.H18_S3,C2.T8.H18_S3
105,C2.T8.H18_S3.2,30,2,C2.T8.H18_S3,C2.T8.H18_S3
106,C2.T8.H18_S3.3,30,3,C2.T8.H18_S3,C2.T8.H18_S3
107,C2.T9.H19_S3.2,30,2,C2.T9.H19_S3,C2.T9.H19_S3
108,C2.T9.H19_S3.3,30,3,C2.T9.H19_S3,C2.T9.H19_S3
109,C3.T6.H25_S3.1,30,1,C3.T6.H25_S3,C3.T6.H25_S3
110,CT1.T1.H28_S1.1,30,1,CT1.T1.H28_S1,CT1.T1.H28_S1
111,CT1.T1.H28_S1.2,30,2,CT1.T1.H28_S1,CT1.T1.H28_S1
112,CT1.T1.H28_S1.3,30,3,CT1.T1.H28_S1,CT1.T1.H28_S1
113,CT1.T2.H29_S1.1,30,1,CT1.T2.H29_S1,CT1.T2.H29_S1
114,CT1.T2.H29_S1.2,30,2,CT1.T2.H29_S1,CT1.T2.H29_S1
115,CT1.T2.H29_S1.3,30,3,CT1.T2.H29_S1,CT1.T2.H29_S1
116,CT1.T3.H30_S1.1,30,1,CT1.T3.H30_S1,CT1.T3.H30_S1
117,CT1.T3.H30_S1.2,30,2,CT1.T3.H30_S1,CT1.T3.H30_S1
118,CT1.T3.H30_S1.3,30,3,CT1.T3.H30_S1,CT1.T3.H30_S1
119,CT1.T4.H31_S1.1,30,1,CT1.T4.H31_S1,CT1.T4.H31_S1
120,CT1.T4.H31_S1.2,30,2,CT1.T4.H31_S1,CT1.T4.H31_S1
121,CT1.T4.H31_S1.3,30,3,CT1.T4.H31_S1,CT1.T4.H31_S1
122,CT1.T5.H32_S1.1,30,1,CT1.T5.H32_S1,CT1.T5.H32_S1
123,CT1.T5.H32_S1.2,30,2,CT1.T5.H32_S1,CT1.T5.H32_S1
124,CT1.T5.H32_S1.3,30,3,CT1.T5.H32_S1,CT1.T5.H32_S1
125,CT1.T6.H33_S1.1,30,1,CT1.T6.H33_S1,CT1.T6.H33_S1
126,CT1.T6.H33_S1.2,30,2,CT1.T6.H33_S1,CT1.T6.H33_S1
127,CT1.T6.H33_S1.3,30,3,CT1.T6.H33_S1,CT1.T6.H33_S1
128,CT1.T1.H28_S2.1,30,1,CT1.T1.H28_S2,CT1.T1.H28_S2
129,CT1.T1.H28_S2.2,30,2,CT1.T1.H28_S2,CT1.T1.H28_S2
130,CT1.T1.H28_S2.3,30,3,CT1.T1.H28_S2,CT1.T1.H28_S2
131,CT1.T2.H29_S2.1,30,1,CT1.T2.H29_S2,CT1.T2.H29_S2
132,CT1.T2.H29_S2.2,30,2,CT1.T2.H29_S2,CT1.T2.H29_S2
133,CT1.T2.H29_S2.3,30,3,CT1.T2.H29_S2,CT1.T2.H29_S2
134,CT1.T3.H30_S2.1,30,1,CT1.T3.H30_S2,CT1.T3.H30_S2
135,CT1.T4.H31_S2.2,30,2,CT1.T4.H31_S2,CT1.T4.H31_S2
136,CT1.T4.H31_S2.3,30,3,CT1.T4.H31_S2,CT1.T4.H31_S2
137,CT1.T5.H32_S2.1,30,1,CT1.T5.H32_S2,CT1.T5.H32_S2
138,CT1.T5.H32_S2.2,30,2,CT1.T5.H32_S2,CT1.T5.H32_S2
139,CT1.T5.H32_S2.3,30,3,CT1.T5.H32_S2,CT1.T5.H32_S2
140,C3.T7.H26_S3.1,30,1,C3.T7.H26_S3,C3.T7.H26_S3
141,C3.T7.H26_S3.2,30,2,C3.T7.H26_S3,C3.T7.H26_S3
142,C3.T7.H26_S3.3,30,3,C3.T7.H26_S3,C3.T7.H26_S3
143,CT1.T1.H28_S3.1,30,1,CT1.T1.H28_S3,CT1.T1.H28_S3
144,CT1.T1.H28_S3.2,30,2,CT1.T1.H28_S3,CT1.T1.H28_S3
145,CT1.T1.H28_S3.3,30,3,CT1.T1.H28_S3,CT1.T1.H28_S3
146,CT1.T2.H29_S3.1,30,1,CT1.T2.H29_S3,CT1.T2.H29_S3
147,CT1.T2.H29_S3.2,30,2,CT1.T2.H29_S3,CT1.T2.H29_S3
148,CT1.T3.H30_S3.2,30,2,CT1.T3.H30_S3,CT1.T3.H30_S3
149,CT1.T4.H31_S3.1,30,1,CT1.T4.H31_S3,CT1.T4.H31_S3
150,CT1.T4.H31_S3.2,30,2,CT1.T4.H31_S3,CT1.T4.H31_S3
151,CT1.T4.H31_S3.3,30,3,CT1.T4.H31_S3,CT1.T4.H31_S3
152,CT1.T5.H32_S3.1,30,1,CT1.T5.H32_S3,CT1.T5.H32_S3
153,CT1.T5.H32_S3.2,30,2,CT1.T5.H32_S3,CT1.T5.H32_S3
154,CT1.T5.H32_S3.3,30,3,CT1.T5.H32_S3,CT1.T5.H32_S3
155,CT1.T7.H34_S1.1,30,1,CT1.T7.H34_S1,CT1.T7.H34_S1
156,CT1.T7.H34_S1.2,30,2,CT1.T7.H34_S1,CT1.T7.H34_S1
157,CT1.T7.H34_S1.3,30,3,CT1.T7.H34_S1,CT1.T7.H34_S1
158,CT1.T8.H35_S1.1,30,1,CT1.T8.H35_S1,CT1.T8.H35_S1
159,CT1.T8.H35_S1.2,30,2,CT1.T8.H35_S1,CT1.T8.H35_S1
160,CT1.T8.H35_S1.3,30,3,CT1.T8.H35_S1,CT1.T8.H35_S1
161,CT2.T1.H36_S1.1,30,1,CT2.T1.H36_S1,CT2.T1.H36_S1
162,CT2.T1.H36_S1.2,30,2,CT2.T1.H36_S1,CT2.T1.H36_S1
163,CT2.T1.H36_S1.3,30,3,CT2.T1.H36_S1,CT2.T1.H36_S1
164,CT2.T4.H39_S1.1,30,1,CT2.T4.H39_S1,CT2.T4.H39_S1
165,CT2.T4.H39_S1.2,30,2,CT2.T4.H39_S1,CT2.T4.H39_S1
166,CT2.T8.H43_S1.1,30,1,CT2.T8.H43_S1,CT2.T8.H43_S1
167,CT2.T8.H43_S1.2,30,2,CT2.T8.H43_S1,CT2.T8.H43_S1
168,CT2.T8.H43_S1.3,30,3,CT2.T8.H43_S1,CT2.T8.H43_S1
169,CT1.T6.H33_S2.1,30,1,CT1.T6.H33_S2,CT1.T6.H33_S2
170,CT1.T6.H33_S2.2,30,2,CT1.T6.H33_S2,CT1.T6.H33_S2
