"","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S1.2","C1.T8.H10_S1.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","C1.T8.H10_S1.3","C2.T8.H18_S1.3","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3","CT1.T7.H34_S1.3","CT1.T8.H35_S1.4","CT2.T8.H43_S1.3","Genus"
"1",1307,703,666,3569,3968,6987,1902,520,29,253,0,0,0,0,36,106,7,3,0,0,0,52,0,11,282,384,89,134,20,101,218,3397,169,209,47,301,0,65,32,0,0,0,0,633,1053,51,"Calanus"
"2",71,41,37,107,94,349,7967,2156,171,1335,93,2103,1259,4290,267,1416,5128,5110,12236,13279,446,3835,324,1418,963,730,87,253,12,112,0,10,688,1007,312,2043,193,307,300,1830,2914,348,514,1866,20,375,"Ctenocalanus"
"3",16,13,0,17,17,73,160,16,9,30,12,283,194,138,69,306,729,445,572,220,55,191,0,4,0,0,55,66,13,78,0,47,1169,739,0,43,0,21,78,206,16,24,0,0,11,573,"Pleuromamma"
"4",303,207,176,1022,1114,2900,13546,6173,930,7899,6,48,42,20,19,82,3,8,0,0,0,9,0,11,120,30,358,460,1533,8499,73,347,24858,20925,1894,14600,0,28,0,0,0,0,0,66,35,27825,"Euphausia"
"5",39,26,19,45,63,211,68,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,62,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,"Rosacea"
"6",91,18,0,32,34,696,10065,2428,14,792,236,3292,3931,6316,349,2016,6054,5719,11596,5869,1347,5816,255,1435,398,552,1790,3504,25,186,1312,13742,572,1083,30,235,361,2149,180,2450,1269,847,331,493,1519,230,"other"
