"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"35575e116e325762dc8dd4b84658d0f40e9893bc","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"5ff1db4d410e0c2a604c73ed9d5322e66afdb062","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura","Oikopleura Vexillaria labradoriensis"
"856adbbd6780d096aa923a18481a9884b70edf25","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"c0cde007b3944912585e43ea92ec51d4514c5c9e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","Salpa",""
"752ee5d1eb330fc163da83ca9ce2b4b43c516f38","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"a29f0ac6e6a70ba91d7110342740c68eb0436908","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura","Oikopleura Vexillaria labradoriensis"
"3c32d58513825484c47705b7d424175ab81ca09e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","",""
"22cf259c5c1e40823b8c7c662c68799ce9da7c3c","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","",""
"72262f3ea777186cfb5037a556e68c064452885a","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura",""
"36cac37aa4a2a73efd6eac3d99e8d10f01673707","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura","Oikopleura Vexillaria labradoriensis"
"d2f7a67b9ae34b65cf1ec8234340bbde3a593266","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","Doliolum",""
