"","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S3.2","C1.T8.H10_S3.2","C2.T8.H18_S3.2","C2.T9.H19_S3.2","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S3.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","CT1.T6.H33_S3.1","CT1.T6.H33_S3.2","CT1.T7.H34_S3.1","CT1.T7.H34_S3.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","C1.T7.H9_S3.3","C1.T8.H10_S3.3","C2.T9.H19_S3.3","CT1.T1.H28_S3.3","CT1.T4.H31_S3.3","CT1.T5.H32_S3.3","CT1.T6.H33_S3.3","CT1.T7.H34_S3.3","CT2.T1.H36_S3.3","CT2.T4.H39_S3.3","CT2.T8.H43_S3.3","Genus"
"1",1307,703,666,3569,3968,6987,1343,214,0,714,9,49,103,179,0,0,0,86,195,0,0,0,7,764,3550,130,2176,708,4639,11442,3223,2130,8029,121,0,1217,15,0,0,0,490,1547,5843,7293,"Calanus"
"2",16,13,0,17,17,73,29,29,4,3,0,0,32,83,23,57,0,0,0,86,75,0,3,0,0,0,37,205,1015,0,0,4,0,0,2,0,75,0,0,0,0,188,0,2,"Pleuromamma"
"3",303,207,176,1022,1114,2900,8469,25790,6695,14556,0,0,10311,17561,70,308,0,1330,1947,0,0,23,122,236,1225,1999,20777,22,102,0,0,1279,2714,1292,6707,21595,6398,205,0,0,75,0,0,788,"Euphausia"
"4",39,26,19,45,63,211,6056,811,7888,80,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,57,232,313,41,15,0,0,0,0,0,0,0,0,"Rosacea"
"5",162,59,37,139,128,1045,5765,124,979,26843,2721,9975,552,1309,354,961,79,2323,3058,14291,8981,53,395,1039,4990,357,5405,1009,9902,3658,1394,670,3683,455,0,44354,743,266,955,0,492,2478,1855,1153,"other"
