"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"31","Lambda","clr_Rosacea","cycle_num",-0.085518360107693,-0.053721564187774,-0.038767940954012,-0.0391830066626945,-0.0241023501353942,0.00436937150249037,"A1_A3_S2_COI","A1","S2","COI",0.5,2
"32","Lambda","clr_other","cycle_num",-0.0301333483029253,0.0168037269323681,0.0400704415155948,0.0403636821578638,0.0632261949400405,0.112788230208095,"A1_A3_S2_COI","A1","S2","COI",0.5,2
"33","Lambda","clr_Calanus","cycle_num",-0.023310840446691,0.00596723498982719,0.021045088296566,0.0208795709065407,0.0354850990007975,0.0643751701997401,"A1_A3_S3_COI","A1","S3","COI",1,2
"34","Lambda","clr_Euphausia","cycle_num",0.0169828541353326,0.0432727138231465,0.0559619975206361,0.0559323395538569,0.0687517896149128,0.0943500564544911,"A1_A3_S3_COI","A1","S3","COI",1,2
"35","Lambda","clr_Pleuromamma","cycle_num",-0.115918414353184,-0.0924860358205392,-0.0805184252238849,-0.0805118062803219,-0.0687129849562054,-0.0445307938436333,"A1_A3_S3_COI","A1","S3","COI",1,2
"36","Lambda","clr_Rosacea","cycle_num",-0.160015081041399,-0.123855394715307,-0.106478184652472,-0.10686372986523,-0.0890401373624144,-0.0560218607638675,"A1_A3_S3_COI","A1","S3","COI",1,2
"37","Lambda","clr_other","cycle_num",0.0763010766026233,0.0986317031818701,0.110478293805413,0.110563625685155,0.122170776762156,0.14616295680075,"A1_A3_S3_COI","A1","S3","COI",1,2
"38","Lambda","clr_Calanus","cycle_num",-0.174387682128243,-0.134242927447121,-0.114427872465442,-0.114395960754619,-0.0945835701653184,-0.0547781273885998,"B3_B5_S1_COI","B3","S1","COI",0.2,3
"39","Lambda","clr_Clausocalanus","cycle_num",0.021448236081882,0.0510515115347379,0.0659394865141512,0.0660052070155763,0.0809240129319561,0.110108151889517,"B3_B5_S1_COI","B3","S1","COI",0.2,3
"40","Lambda","clr_Ctenocalanus","cycle_num",0.0261663283220488,0.0581480373143111,0.0738802400877434,0.0738956181100336,0.0896288847067904,0.120470538490503,"B3_B5_S1_COI","B3","S1","COI",0.2,3
"41","Lambda","clr_Pleuromamma","cycle_num",-0.0935218698338676,-0.0580117317242749,-0.0412426797576789,-0.0410887758891395,-0.0243965059002629,0.0110545722119766,"B3_B5_S1_COI","B3","S1","COI",0.2,3
"42","Lambda","clr_other","cycle_num",-0.0541473378736875,-0.00698777855685645,0.01575034413511,0.0155839115181486,0.0381320630113284,0.0858537806960382,"B3_B5_S1_COI","B3","S1","COI",0.2,3
