"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"31","Lambda","clr_Salpidae","cycle_num",-0.210512792485056,-0.167590274707633,-0.145880950883766,-0.146645029343039,-0.125074345516923,-0.086017157750829,"All_S3_18S","All","S3","18S",1,1
"32","Lambda","clr_other","cycle_num",0.0673369657929554,0.109697136445457,0.131575150275855,0.131531052733637,0.152842865649942,0.195552548208276,"All_S3_18S","All","S3","18S",1,1
"33","Lambda","clr_unidentified Calanoida","cycle_num",0.0622157340662969,0.083249531619864,0.0948335695573743,0.0946866011884423,0.105684438384669,0.127753373578667,"All_S3_18S","All","S3","18S",1,1
"34","Lambda","clr_Calanidae","cycle_num",0.0139740154793581,0.0359295825675836,0.0467893500911558,0.0466715175801547,0.0574006202879355,0.0790164480263769,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"35","Lambda","clr_Clausocalanidae","cycle_num",-0.0111408372744551,0.0130610680381088,0.0249041608707683,0.0252201148569473,0.0373486552600175,0.0622582435582496,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"36","Lambda","clr_Euphausiidae","cycle_num",-0.000881001020186621,0.0207550962161358,0.0312371570204932,0.0313240648316992,0.0419605630631603,0.0637346681052282,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"37","Lambda","clr_Metridinidae","cycle_num",0.0730757095833848,0.0958879398865908,0.107493552494895,0.107458714948785,0.119035285536498,0.141651895504762,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"38","Lambda","clr_Oithonidae","cycle_num",-0.0869864633419686,-0.0546507613236987,-0.0383994486369062,-0.0382371159835508,-0.0216170174210276,0.0110779226556115,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"39","Lambda","clr_Paracalanidae","cycle_num",-0.00967165196224392,0.0134150263368012,0.0248830564391111,0.0248767613010434,0.0362960126402823,0.0584840955976515,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"40","Lambda","clr_Rhincalanidae","cycle_num",-0.166081534763926,-0.1059781485677,-0.0756921166071877,-0.075764692380238,-0.0460603784362718,0.0161233999433172,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"41","Lambda","clr_other","cycle_num",-0.192426081381792,-0.144142779528466,-0.120865804051807,-0.121549365154841,-0.0980861917406126,-0.0535171236536888,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"42","Lambda","clr_Calanidae","cycle_num",0.0564362835040391,0.104760346789247,0.12858112066845,0.12848388225998,0.152617432220035,0.19960349943173,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"43","Lambda","clr_Clausocalanidae","cycle_num",-0.125194791974622,-0.0656227744112079,-0.0365315025800354,-0.0365507811676992,-0.00717659636251122,0.050912272088082,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"44","Lambda","clr_Euphausiidae","cycle_num",0.000414971848963718,0.0514230311706969,0.0768048861875712,0.0766309646547967,0.100748817306758,0.15588198266884,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"45","Lambda","clr_Metridinidae","cycle_num",0.0873145759437281,0.132550090757312,0.155499515714689,0.155665307905457,0.178504425174537,0.224753161507167,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"46","Lambda","clr_Oithonidae","cycle_num",-0.218379897023898,-0.165441156834063,-0.140915430626917,-0.142703815919031,-0.118255743083611,-0.0755047483224488,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"47","Lambda","clr_Paracalanidae","cycle_num",-0.214320583202326,-0.146456962500829,-0.114899627023582,-0.11620704540573,-0.0849303445078448,-0.0248104560850114,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"48","Lambda","clr_Rhincalanidae","cycle_num",-0.0747418377123258,-0.0313471833609473,-0.0102073996372055,-0.0108219782318464,0.0102040030852221,0.0503809987809169,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"49","Lambda","clr_other","cycle_num",-0.117891818152828,-0.0759797103715764,-0.0548674550963775,-0.0544965340959277,-0.0331577474201393,0.0104343630192175,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"50","Lambda","clr_Calanidae","cycle_num",0.00205730679516767,0.0423042658763059,0.0617767100868757,0.0617647415983169,0.0811057204557765,0.121785968104239,"A1_A3_S3_18S","A1","S3","18S",1,2
"51","Lambda","clr_Clausocalanidae","cycle_num",-0.148298726371761,-0.0960711306854881,-0.07040552454064,-0.0710445638520844,-0.0457098137091793,0.00549368302591552,"A1_A3_S3_18S","A1","S3","18S",1,2
"52","Lambda","clr_Eucalanidae","cycle_num",-0.15275002947725,-0.093202557563422,-0.0642884078619227,-0.0653397143607903,-0.0366186089709017,0.0178154721967546,"A1_A3_S3_18S","A1","S3","18S",1,2
"53","Lambda","clr_Euphausiidae","cycle_num",0.00414399244716964,0.0904296397811314,0.133367767549328,0.134137408339083,0.178803826741998,0.265746252089246,"A1_A3_S3_18S","A1","S3","18S",1,2
"54","Lambda","clr_Metridinidae","cycle_num",0.0701736703578529,0.113106455970598,0.134584766617215,0.135054745463798,0.156516010178276,0.201275855301197,"A1_A3_S3_18S","A1","S3","18S",1,2
"55","Lambda","clr_Oithonidae","cycle_num",-0.208399235759829,-0.153911289323696,-0.129270293668317,-0.130214536946492,-0.105452330841329,-0.0592372530217828,"A1_A3_S3_18S","A1","S3","18S",1,2
"56","Lambda","clr_Paracalanidae","cycle_num",-0.137305637791961,-0.0956019800624386,-0.0758144877634714,-0.0761333769616351,-0.0562099533452459,-0.0175145707505418,"A1_A3_S3_18S","A1","S3","18S",1,2
"57","Lambda","clr_Rhincalanidae","cycle_num",-0.0321856463825268,0.00894905989437961,0.0287396633014312,0.0286815895612336,0.0488814846667427,0.0886075700563928,"A1_A3_S3_18S","A1","S3","18S",1,2
"58","Lambda","clr_other","cycle_num",-0.139232512623792,-0.0559263276155412,-0.0161355420271974,-0.0169062928414294,0.022730481850297,0.100837893594159,"A1_A3_S3_18S","A1","S3","18S",1,2
"59","Lambda","clr_Calanidae","cycle_num",0.0268707543421967,0.0519572780258338,0.0645324624377231,0.0643958111536931,0.076860533664309,0.10123629821839,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"60","Lambda","clr_Clausocalanidae","cycle_num",0.0752115098392902,0.102665766315268,0.117076410813039,0.116662024976627,0.130458271824432,0.157564827761529,"B3_B5_S1_18S","B3","S1","18S",0.2,3
